condition,label,macro_f1_mean,ci95_lo,ci95_hi,delta_vs_full,n,f1__BRCA_Basal,f1__BRCA_Her2,f1__BRCA_LumA,f1__BRCA_LumB,f1__BRCA_Normal
full,RNA+CNV+methy,0.8267466956164565,0.8006943690689834,0.8527990221639297,0.0,10,0.9755021567007358,0.7725940725940726,0.9062542839780374,0.777661353087825,0.7017216117216118
rna_methy,RNA+methy (no CNV),0.782676873770634,0.755836325267671,0.809517422273597,-0.04406982184582253,20,0.9647772811765348,0.7426830500085095,0.8937978667237398,0.7660361498543642,0.546090021090021
rna_cnv,RNA+CNV (no methy),0.8066848360638368,0.7685697162679704,0.8447999558597031,-0.020061859552619743,10,0.967442204020502,0.6993278969064735,0.9077223920650914,0.741539324787696,0.7173923625394213
rna_only,RNA only,0.7196825744667302,0.6599117112448097,0.7794534376886507,-0.1070641211497263,10,0.9515639435129477,0.6018038697698244,0.8761931191673783,0.6997765708081317,0.46907536907536906
