model,repeat,fold,metric,value
B2_elasticnet_logreg,2,3,macro_f1,0.891155894583314
B2_elasticnet_logreg,2,4,macro_f1,0.8708105511384199
B2_elasticnet_logreg,3,0,macro_f1,0.8884370549393639
B2_elasticnet_logreg,3,1,macro_f1,0.9244147157190636
B2_elasticnet_logreg,3,2,macro_f1,0.8568681318681318
B2_elasticnet_logreg,3,3,macro_f1,0.9089425477768175
B2_elasticnet_logreg,3,4,macro_f1,0.9286929393784233
B2_elasticnet_logreg,4,0,macro_f1,0.9095797629187555
B2_elasticnet_logreg,4,1,macro_f1,0.901417475996027
B2_elasticnet_logreg,4,2,macro_f1,0.920772931297382
B2_elasticnet_logreg,4,3,macro_f1,0.8973799979306725
B2_elasticnet_logreg,4,4,macro_f1,0.9223741171109592
B3_linear_svm,0,0,macro_f1,0.9102935911206589
B3_linear_svm,0,1,macro_f1,0.8855660316674431
B3_linear_svm,0,2,macro_f1,0.9212591455228889
B3_linear_svm,0,3,macro_f1,0.875347874401361
B3_linear_svm,0,4,macro_f1,0.893553297755884
B3_linear_svm,1,0,macro_f1,0.8719729344729346
B3_linear_svm,1,1,macro_f1,0.8600178398197932
B3_linear_svm,1,2,macro_f1,0.8981031638926376
B3_linear_svm,1,3,macro_f1,0.8814052663643133
B3_linear_svm,1,4,macro_f1,0.8645655605359553
B3_linear_svm,2,0,macro_f1,0.8923971622840057
B3_linear_svm,2,1,macro_f1,0.875341860516491
B3_linear_svm,2,2,macro_f1,0.8438625100389805
B3_linear_svm,2,3,macro_f1,0.8898777876932692
B3_linear_svm,2,4,macro_f1,0.874501273344652
B3_linear_svm,3,0,macro_f1,0.8719358584956227
B3_linear_svm,3,1,macro_f1,0.9177291042498417
B3_linear_svm,3,2,macro_f1,0.8364933131589223
B3_linear_svm,3,3,macro_f1,0.8795317304568775
B3_linear_svm,3,4,macro_f1,0.9122023809523809
B3_linear_svm,4,0,macro_f1,0.8801442467575658
B3_linear_svm,4,1,macro_f1,0.859617447633718
B3_linear_svm,4,2,macro_f1,0.8952633587707381
B3_linear_svm,4,3,macro_f1,0.9053127825276848
B3_linear_svm,4,4,macro_f1,0.8783554641885702
B4_random_forest,0,0,macro_f1,0.9163021101389605
B4_random_forest,0,1,macro_f1,0.9412635393579751
B4_random_forest,0,2,macro_f1,0.9458664898320072
B4_random_forest,0,3,macro_f1,0.9207841031149302
B4_random_forest,0,4,macro_f1,0.9293827137972202
B4_random_forest,1,0,macro_f1,0.9062093132773762
B4_random_forest,1,1,macro_f1,0.9054812146165723
B4_random_forest,1,2,macro_f1,0.8789510798037808
B4_random_forest,1,3,macro_f1,0.9315017187532861
B4_random_forest,1,4,macro_f1,0.9224369914025087
B4_random_forest,2,0,macro_f1,0.9375023580456517
B4_random_forest,2,1,macro_f1,0.906682598817844
B4_random_forest,2,2,macro_f1,0.9331650916028282
B4_random_forest,2,3,macro_f1,0.9222014595457725
B4_random_forest,2,4,macro_f1,0.924032622344506
B4_random_forest,3,0,macro_f1,0.9089864158829677
B4_random_forest,3,1,macro_f1,0.9317697103411389
B4_random_forest,3,2,macro_f1,0.8907692307692308
B4_random_forest,3,3,macro_f1,0.9315167996132464
B4_random_forest,3,4,macro_f1,0.9359039428004946
B4_random_forest,4,0,macro_f1,0.9207225314368171
B4_random_forest,4,1,macro_f1,0.8767776073475555
B4_random_forest,4,2,macro_f1,0.9257149849131625
B4_random_forest,4,3,macro_f1,0.9187891471487517
B4_random_forest,4,4,macro_f1,0.9580322095866137
B5_xgboost,0,0,macro_f1,0.9233888177550149
B5_xgboost,0,1,macro_f1,0.9268996960486322
B5_xgboost,0,2,macro_f1,0.9471329538644286
B5_xgboost,0,3,macro_f1,0.9316991803964797
B5_xgboost,0,4,macro_f1,0.9173262212686493
B5_xgboost,1,0,macro_f1,0.8976391312778748
B5_xgboost,1,1,macro_f1,0.9287545787545787
B5_xgboost,1,2,macro_f1,0.9290962722880087
B5_xgboost,1,3,macro_f1,0.9237504105745715
B5_xgboost,1,4,macro_f1,0.9436925647451962
B5_xgboost,2,0,macro_f1,0.9175016116192587
B5_xgboost,2,1,macro_f1,0.9166666666666667
B5_xgboost,2,2,macro_f1,0.9388477825864396
B5_xgboost,2,3,macro_f1,0.9261595381538825
B5_xgboost,2,4,macro_f1,0.8957564314419153
B5_xgboost,3,0,macro_f1,0.9125042264075078
B5_xgboost,3,1,macro_f1,0.9656140734265735
B5_xgboost,3,2,macro_f1,0.8606624037003784
B5_xgboost,3,3,macro_f1,0.9176388926510821
B5_xgboost,3,4,macro_f1,0.9509500465133668
B5_xgboost,4,0,macro_f1,0.9234652194211017
B5_xgboost,4,1,macro_f1,0.9017454177028645
B5_xgboost,4,2,macro_f1,0.9357778663478146
B5_xgboost,4,3,macro_f1,0.9524816310199331
B5_xgboost,4,4,macro_f1,0.9634046052631579
B2_elasticnet_logreg__LATE,0,0,macro_f1,0.8624639836108908
B2_elasticnet_logreg__LATE,0,1,macro_f1,0.8242924447743725
B2_elasticnet_logreg__LATE,0,2,macro_f1,0.8503631177118361
B2_elasticnet_logreg__LATE,0,3,macro_f1,0.8727380952380953
B2_elasticnet_logreg__LATE,0,4,macro_f1,0.8756699649556793
B2_elasticnet_logreg__LATE,1,0,macro_f1,0.8394379897093007
B2_elasticnet_logreg__LATE,1,1,macro_f1,0.8397058823529413
B2_elasticnet_logreg__LATE,1,2,macro_f1,0.8538081481054198
B2_elasticnet_logreg__LATE,1,3,macro_f1,0.8180100183311974
B2_elasticnet_logreg__LATE,1,4,macro_f1,0.8266870816964935
B2_elasticnet_logreg__LATE,2,0,macro_f1,0.8447651386530843
B2_elasticnet_logreg__LATE,2,1,macro_f1,0.8126929233666854
B2_elasticnet_logreg__LATE,2,2,macro_f1,0.8695672143948006
B2_elasticnet_logreg__LATE,2,3,macro_f1,0.856046138662719
B2_elasticnet_logreg__LATE,2,4,macro_f1,0.8388606175608073
B2_elasticnet_logreg__LATE,3,0,macro_f1,0.851090224563644
B2_elasticnet_logreg__LATE,3,1,macro_f1,0.9111249929264635
B2_elasticnet_logreg__LATE,3,2,macro_f1,0.7785476679170501
B2_elasticnet_logreg__LATE,3,3,macro_f1,0.8331127457682737
B2_elasticnet_logreg__LATE,3,4,macro_f1,0.8672506203844998
B2_elasticnet_logreg__LATE,4,0,macro_f1,0.8690063904349619
B2_elasticnet_logreg__LATE,4,1,macro_f1,0.8585969910531315
B2_elasticnet_logreg__LATE,4,2,macro_f1,0.8322951390516592
B2_elasticnet_logreg__LATE,4,3,macro_f1,0.8384231683103862
B2_elasticnet_logreg__LATE,4,4,macro_f1,0.8418504560160651
B3_linear_svm__LATE,0,0,macro_f1,0.867742839889579
B3_linear_svm__LATE,0,1,macro_f1,0.8539197059187972
B3_linear_svm__LATE,0,2,macro_f1,0.8397824679976484
B3_linear_svm__LATE,0,3,macro_f1,0.8466756513926326
B3_linear_svm__LATE,0,4,macro_f1,0.8670013209903459
B3_linear_svm__LATE,1,0,macro_f1,0.8937900641025641
B3_linear_svm__LATE,1,1,macro_f1,0.8112150171774437
B3_linear_svm__LATE,1,2,macro_f1,0.8377255876433508
B3_linear_svm__LATE,1,3,macro_f1,0.8427867544341463
B3_linear_svm__LATE,1,4,macro_f1,0.8662091296237637
B3_linear_svm__LATE,2,0,macro_f1,0.8816666666666667
B3_linear_svm__LATE,2,1,macro_f1,0.8413298962898526
B3_linear_svm__LATE,2,2,macro_f1,0.8066861965700513
B3_linear_svm__LATE,2,3,macro_f1,0.8641089902809789
B3_linear_svm__LATE,2,4,macro_f1,0.8595490309399604
B3_linear_svm__LATE,3,0,macro_f1,0.8505009152525602
B3_linear_svm__LATE,3,1,macro_f1,0.8630748546181455
B3_linear_svm__LATE,3,2,macro_f1,0.8390997465748
B3_linear_svm__LATE,3,3,macro_f1,0.8555579236525528
B3_linear_svm__LATE,3,4,macro_f1,0.8859198981082947
B3_linear_svm__LATE,4,0,macro_f1,0.859021454367592
B3_linear_svm__LATE,4,1,macro_f1,0.8697081581067805
B3_linear_svm__LATE,4,2,macro_f1,0.8497087134579996
B3_linear_svm__LATE,4,3,macro_f1,0.8065134119611731
B3_linear_svm__LATE,4,4,macro_f1,0.8868606772733908
B4_random_forest__LATE,0,0,macro_f1,0.8004322811382367
B4_random_forest__LATE,0,1,macro_f1,0.7690399745458752
B4_random_forest__LATE,0,2,macro_f1,0.7897474397474398
B4_random_forest__LATE,0,3,macro_f1,0.7725212936074703
B4_random_forest__LATE,0,4,macro_f1,0.7833382419867602
B4_random_forest__LATE,1,0,macro_f1,0.7570233585858586
B4_random_forest__LATE,1,1,macro_f1,0.766384432560903
B4_random_forest__LATE,1,2,macro_f1,0.7607885742443464
B4_random_forest__LATE,1,3,macro_f1,0.7905414198224486
B4_random_forest__LATE,1,4,macro_f1,0.783214864757988
B4_random_forest__LATE,2,0,macro_f1,0.8183167834890965
B4_random_forest__LATE,2,1,macro_f1,0.7656060606060606
B4_random_forest__LATE,2,2,macro_f1,0.7488485092962704
B4_random_forest__LATE,2,3,macro_f1,0.7983698871250279
B4_random_forest__LATE,2,4,macro_f1,0.7936799774076451
B4_random_forest__LATE,3,0,macro_f1,0.7635727358438245
B4_random_forest__LATE,3,1,macro_f1,0.8316945515543646
B4_random_forest__LATE,3,2,macro_f1,0.7352838082315694
B4_random_forest__LATE,3,3,macro_f1,0.7845389377647441
B4_random_forest__LATE,3,4,macro_f1,0.7223489094985732
B4_random_forest__LATE,4,0,macro_f1,0.798543776484953
B4_random_forest__LATE,4,1,macro_f1,0.7855270379060371
B4_random_forest__LATE,4,2,macro_f1,0.7663020917934557
B4_random_forest__LATE,4,3,macro_f1,0.728030303030303
B4_random_forest__LATE,4,4,macro_f1,0.8172891118543293
B5_xgboost__LATE,0,0,macro_f1,0.8597058823529411
B5_xgboost__LATE,0,1,macro_f1,0.8171098612792896
B5_xgboost__LATE,0,2,macro_f1,0.8553518787944995
B5_xgboost__LATE,0,3,macro_f1,0.8488544801977638
B5_xgboost__LATE,0,4,macro_f1,0.8871499258902609
B5_xgboost__LATE,1,0,macro_f1,0.9050088901581803
B5_xgboost__LATE,1,1,macro_f1,0.9129574612704976
B5_xgboost__LATE,1,2,macro_f1,0.84386223532565
B5_xgboost__LATE,1,3,macro_f1,0.8163715486194477
B5_xgboost__LATE,1,4,macro_f1,0.9118555008210181
B5_xgboost__LATE,2,0,macro_f1,0.8749670198436393
B5_xgboost__LATE,2,1,macro_f1,0.8528198992263213
B5_xgboost__LATE,2,2,macro_f1,0.8588257975236664
B5_xgboost__LATE,2,3,macro_f1,0.8651214060753836
B5_xgboost__LATE,2,4,macro_f1,0.7947093103290047
B5_xgboost__LATE,3,0,macro_f1,0.8618524332810047
B5_xgboost__LATE,3,1,macro_f1,0.871559759338042
B5_xgboost__LATE,3,2,macro_f1,0.8378269940619483
