endpoint,model,HR,CI_low,CI_high,wald_p,logrank_p,C_index,n,events
PFI,Unadjusted,1.276882493505912,0.6391655057612208,2.550871233703545,0.48877021354502936,0.4867757900782115,0.5405709342560554,334,35
PFI,+ Age,1.2676650423371059,0.6356866240709668,2.5279353044624338,0.5006381434596295,,0.644636678200692,334,35
OS,Unadjusted,1.5818178106134204,0.8266632192275465,3.0268040572942145,0.1660438699729869,0.1621246306340553,0.5643086816720257,334,38
OS,+ Age,1.7123609476411739,0.8920262842322532,3.287100466473631,0.1059732478925665,,0.6802786709539121,334,38
DSS,Unadjusted,1.3299224037806574,0.5135849866108545,3.443818737283043,0.5569786445244151,0.5544913123768946,0.5213539300318037,329,18
DSS,+ Age,1.3906361122501187,0.5365945984503782,3.6039662014468834,0.49731992879975495,,0.6008632439800091,329,18
