subset,n,ARI,kappa,jaccard,pct_agree,frac_clusterB_highrisk,frac_highrisk_clusterB
all,334,0.10211246277565933,0.32335329341317365,0.4292929292929293,0.6616766467065869,0.7327586206896551,0.5089820359281437
core_only,333,0.10470375032206011,0.32795156407669024,0.43147208121827413,0.6636636636636637,0.7391304347826086,0.5089820359281437
