model,estimand,HR,CI_low,CI_high,wald_p,logrank_p,C_index,n,events
Unadjusted,total effect,1.276882493505912,0.6391655057612208,2.550871233703545,0.48877021354502936,0.4867757900782115,0.5405709342560554,334,35
+ Age,confounder-adjusted,1.2676650423371059,0.6356866240709668,2.5279353044624338,0.5006381434596295,,0.644636678200692,334,35
+ Age + Stage (ord.),direct (stage-mediated removed),1.0525849731395864,0.510975150998244,2.1682759396710303,0.8894575346119824,,0.7076255872786411,330,33
+ Age + Stage (bin.),direct (stage-mediated removed),1.1557997862639566,0.5640795416210662,2.3682354124894185,0.6923965087929548,,0.6706722081676907,330,33
Unadjusted (core-only),total effect (sensitivity),1.3014096477649657,0.6514449055009285,2.5998623321697276,0.4555724271238256,,0.5423478260869565,333,35
