macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,f1__BRCA_Normal,precision__BRCA_Normal,recall__BRCA_Normal,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,roc_auc__BRCA_Normal,pr_auc__BRCA_Normal,model,repeat,fold,n_selected,best_inner_f1,M_condition
0.8242614638447971,0.8758841548315233,0.8459478021978022,0.812750077236933,0.96875,0.96875,0.96875,0.7857142857142857,0.9166666666666666,0.6875,0.91005291005291,0.9247311827956989,0.8958333333333334,0.7901234567901234,0.7619047619047619,0.8205128205128205,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.9830890751697959,0.9211207215187717,0.9986155063291139,0.9943910256410257,0.9917385057471264,0.9231855680868839,0.9742907801418441,0.9769935086885233,0.9687553065036509,0.876377420521341,0.9820452771272443,0.8346560846560847,MOGFormer_BASELINE,1,0,444,0.8349246695333651,full
0.36980446561788344,0.5533857770883245,0.4104166666666667,0.42707463777942917,0.4,1.0,0.25,0.18181818181818182,0.14285714285714285,0.25,0.7019867549668874,0.9636363636363636,0.5520833333333334,0.5652173913043478,0.3939393939393939,1.0,0.0,0.0,0.0,0.9369829442659645,0.766380748922931,0.9833860759493671,0.9708419232305314,0.8703304597701149,0.29214690230844464,0.9633200354609929,0.9662770628918583,0.9607743250127355,0.8671015856008206,0.907103825136612,0.7355362705829996,MOGFormer_BASELINE,1,0,444,0.8349246695333651,rna_only
0.14137377627989087,0.24670704203937865,0.23349358974358975,0.13639389038962482,0.0,0.0,0.0,0.0,0.0,0.0,0.3387096774193548,0.75,0.21875,0.3681592039800995,0.22839506172839505,0.9487179487179487,0.0,0.0,0.0,0.6337078833748814,0.3129777681602798,0.30083069620253167,0.11833050421948935,0.6979166666666666,0.20845436011376922,0.7967641843971631,0.7577515610380805,0.6400067923246731,0.33445463724187346,0.7330210772833723,0.14589777818818622,MOGFormer_BASELINE,1,0,444,0.8349246695333651,cnv_only
0.22056044577242995,0.43917254980299814,0.2730769230769231,0.2289781207626167,0.0,0.0,0.0,0.0,0.0,0.0,0.7093596059113301,0.6728971962616822,0.75,0.39344262295081966,0.2891566265060241,0.6153846153846154,0.0,0.0,0.0,0.6742842496624515,0.3560450378875585,0.7879746835443038,0.4243809556993382,0.5352011494252873,0.09084468151604569,0.8580452127659575,0.8721797262771414,0.6593649176430633,0.3332962550167615,0.5308352849336455,0.05952357092850583,MOGFormer_BASELINE,1,0,444,0.8349246695333651,methy_only
0.824360876025653,0.8622095849443986,0.8331272893772892,0.7978944591560984,0.9354838709677419,0.9666666666666667,0.90625,0.7142857142857143,0.8333333333333334,0.625,0.9060773480662984,0.9647058823529412,0.8541666666666666,0.7659574468085106,0.6545454545454545,0.9230769230769231,0.8,0.75,0.8571428571428571,0.979455737687298,0.9105845241367042,0.9865506329113924,0.9769694546165241,0.9752155172413793,0.7868678132914787,0.9768395390070922,0.9797696043476226,0.9656987604007472,0.8896728912850389,0.9929742388758782,0.919642857142857,MOGFormer_BASELINE,1,0,444,0.8349246695333651,rna_cnv
0.7559362330790902,0.8466976242916092,0.7343864468864469,0.7843053894209031,0.9393939393939394,0.9117647058823529,0.96875,0.7407407407407407,0.9090909090909091,0.625,0.9,0.9642857142857143,0.84375,0.7551020408163265,0.6271186440677966,0.9487179487179487,0.4444444444444444,1.0,0.2857142857142857,0.976783947895043,0.8943986344806429,0.9972310126582279,0.9894926457111437,0.9892241379310345,0.898866497995755,0.9747340425531915,0.9773934343286406,0.967227033452199,0.8768900507314177,0.955503512880562,0.729350543636258,MOGFormer_BASELINE,1,0,444,0.8349246695333651,rna_methy
0.15563636363636363,0.36918660287081345,0.21025641025641026,0.10350911281647458,0.0,0.0,0.0,0.0,0.0,0.0,0.6981818181818182,0.5363128491620112,1.0,0.08,0.18181818181818182,0.05128205128205128,0.0,0.0,0.0,0.7067749869466351,0.3518601115334958,0.7889636075949367,0.4227229292170964,0.5671695402298851,0.09948164194128237,0.8506205673758864,0.8172960894161452,0.6651383936152148,0.31793388931574196,0.661982825917252,0.10186600777721293,MOGFormer_BASELINE,1,0,444,0.8349246695333651,cnv_methy
0.8604442461916273,0.9071474011378162,0.8914046479835953,0.8592703203407072,0.9523809523809523,1.0,0.9090909090909091,0.8571428571428571,0.7894736842105263,0.9375,0.9375,0.9375,0.9375,0.8493150684931506,0.8857142857142857,0.8157894736842105,0.7058823529411765,0.6,0.8571428571428571,0.9848320970788944,0.9337852811390241,0.9988419224088014,0.9948773448773447,0.9906609195402298,0.9012474983722586,0.9771719858156029,0.9770443864145069,0.9629501385041551,0.8820994052303828,0.994535519125683,0.9136577708006279,MOGFormer_BASELINE,1,1,444,0.8806038360502357,full
0.7482346261765221,0.8401796599983735,0.750721975393028,0.7697656769109354,0.9014084507042254,0.8421052631578947,0.9696969696969697,0.5833333333333334,0.875,0.4375,0.914572864321608,0.883495145631068,0.9479166666666666,0.7536231884057971,0.8387096774193549,0.6842105263157895,0.5882352941176471,0.5,0.7142857142857143,0.9792167896352371,0.894221394560471,0.9961397413626714,0.9835450368345104,0.9874281609195402,0.8738009078862912,0.970633865248227,0.9705998578525535,0.958275623268698,0.853725395919276,0.9836065573770493,0.7894357743097238,MOGFormer_BASELINE,1,1,444,0.8806038360502357,rna_only
0.22767588549247936,0.4351811844020532,0.2859848484848485,0.23782189448050126,0.4222222222222222,0.3333333333333333,0.5757575757575758,0.0,0.0,0.0,0.7161572052401747,0.6165413533834586,0.8541666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.7315682445791237,0.32996915705928276,0.7039181625168887,0.27589706375474454,0.7223419540229886,0.15815028789030933,0.7570921985815603,0.7341704073070574,0.679016620498615,0.30111558798811927,0.795472287275566,0.18051243835618333,MOGFormer_BASELINE,1,1,444,0.8806038360502357,cnv_only
