macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,model,repeat,fold,n_selected,best_inner_f1
0.8803325512207091,0.9069466819251115,0.8848157051282051,0.855435811121511,0.9538461538461539,0.9393939393939394,0.96875,0.7878787878787878,0.7647058823529411,0.8125,0.9375,0.9375,0.9375,0.8421052631578947,0.8648648648648649,0.8205128205128205,0.986920683729741,0.9390105274279931,0.9937913907284768,0.9848790322580645,0.9839071856287425,0.840727294072083,0.9881465517241379,0.9893371730204261,0.9818376068376069,0.9410986103613984,MOGFormer_BASELINE,1,0,444,0.9132937715560966
0.8505927594450496,0.8742320859563927,0.8300064792663477,0.811057405797121,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.8,0.8571428571428571,0.75,0.916256157635468,0.8691588785046729,0.96875,0.7164179104477612,0.8275862068965517,0.631578947368421,0.9848689562660962,0.9453471127747355,0.9991919191919193,0.9967239967239965,0.9940119760479041,0.9258071370493971,0.9834770114942529,0.9859131511089229,0.9627949183303086,0.8729441662166257,MOGFormer_BASELINE,1,1,444,0.918737180231433
0.8676296175101804,0.9099372848301053,0.8872122668997668,0.8571675596913956,0.96875,1.0,0.9393939393939394,0.7222222222222222,0.6190476190476191,0.8666666666666667,0.9528795811518325,0.9578947368421052,0.9479166666666666,0.8266666666666667,0.8611111111111112,0.7948717948717948,0.9847425638697191,0.9276670645758727,0.9993939393939394,0.9974747474747472,0.9757936507936509,0.829263015439486,0.9917385057471264,0.9924722878489511,0.9720441595441596,0.8914582075403064,MOGFormer_BASELINE,1,2,444,0.9082198327359619
0.8581907510478939,0.8940447184006903,0.8421474358974359,0.8361154501768514,1.0,1.0,1.0,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.9387755102040817,0.92,0.9583333333333334,0.7532467532467533,0.7631578947368421,0.7435897435897436,0.9815507110226938,0.9313853086989635,1.0,0.9999999999999998,0.9833333333333334,0.8682186948853615,0.9823994252873562,0.9838925756200759,0.9604700854700854,0.8734299642904166,MOGFormer_BASELINE,1,3,444,0.9322846070187644
0.9218303962242607,0.9399577889472458,0.911298076923077,0.9079328497638864,1.0,1.0,1.0,0.8461538461538461,1.0,0.7333333333333333,0.9574468085106383,0.9782608695652174,0.9375,0.8837209302325582,0.8085106382978723,0.9743589743589743,0.9915745117359387,0.9673882784460388,1.0,1.0,0.9928143712574851,0.9461056644880173,0.9924903100775193,0.9935429395932527,0.9809933656087502,0.9299045097028855,MOGFormer_BASELINE,1,4,444,0.940506576526858
0.8787851770686277,0.8987998737710121,0.8721955128205129,0.846016191875635,0.9846153846153847,0.9696969696969697,1.0,0.8125,0.8125,0.8125,0.9292929292929293,0.9019607843137255,0.9583333333333334,0.7887323943661971,0.875,0.717948717948718,0.9855140810262745,0.9514513228911592,0.9997930463576159,0.9990530303030303,0.9940119760479043,0.9456262133119718,0.9870689655172414,0.9887783902396609,0.9611823361823362,0.8723476577099737,MOGFormer_BASELINE,2,0,444,0.923609019804672
0.8746074879227053,0.9053390881972492,0.8992598684210527,0.8525980288900439,1.0,1.0,1.0,0.7777777777777778,0.7,0.875,0.9456521739130435,0.9886363636363636,0.90625,0.775,0.7380952380952381,0.8157894736842105,0.9817805896072344,0.913362701758498,1.0,0.9999999999999998,0.9794161676646707,0.7937225299378684,0.9909003831417624,0.9920975818464409,0.9568058076225044,0.8676306952496826,MOGFormer_BASELINE,2,1,444,0.9345760233918129
0.9394961123720456,0.9560721426834846,0.9308457167832168,0.9314016561982379,0.9846153846153847,1.0,0.9696969696969697,0.896551724137931,0.9285714285714286,0.8666666666666667,0.979381443298969,0.9693877551020408,0.9895833333333334,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.987766803758183,0.9615434851785611,0.9901010101010101,0.981892091648189,0.9777777777777777,0.9268300327123855,0.998323754789272,0.9985269141568724,0.9848646723646723,0.9389249021967973,MOGFormer_BASELINE,2,2,444,0.9166431377108264
0.8581668331668333,0.8948199341641965,0.8447880244755244,0.836164459743315,0.9846153846153847,1.0,0.9696969696969697,0.7142857142857143,0.7692307692307693,0.6666666666666666,0.9285714285714286,0.91,0.9479166666666666,0.8051948051948052,0.8157894736842105,0.7948717948717948,0.9836997130423855,0.9289718926564334,0.9993939393939394,0.9974747474747472,0.9761904761904763,0.8149781868150348,0.9850335249042146,0.9873414356732164,0.9741809116809117,0.9160932006627355,MOGFormer_BASELINE,2,3,444,0.9591924862355609
0.8546974076314668,0.8743181265867291,0.8534054487179487,0.8030785708827715,1.0,1.0,1.0,0.7586206896551724,0.7857142857142857,0.7333333333333333,0.8947368421052632,0.9042553191489362,0.8854166666666666,0.7654320987654321,0.7380952380952381,0.7948717948717948,0.9817667971661417,0.9446985674134047,1.0,1.0,0.9904191616766468,0.908176268176268,0.9728682170542635,0.9769383370996455,0.9637798099336561,0.8936796643777054,MOGFormer_BASELINE,2,4,444,0.9604184704184704
