macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,f1__BRCA_Normal,precision__BRCA_Normal,recall__BRCA_Normal,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,roc_auc__BRCA_Normal,pr_auc__BRCA_Normal,model,repeat,fold,n_selected,best_inner_f1,temperature,ece_argmax,ece_temp
0.7996102095687936,0.8754197933512985,0.7642399267399267,0.818665535879733,0.9253731343283582,0.8857142857142857,0.96875,0.7407407407407407,0.9090909090909091,0.625,0.9319371727748691,0.9368421052631579,0.9270833333333334,0.8,0.7391304347826086,0.8717948717948718,0.6,1.0,0.42857142857142855,0.9905982037336173,0.9520881097173539,0.9984177215189873,0.99375,0.9964080459770115,0.9610679342587238,0.9857047872340426,0.9874642756813395,0.9779249448123621,0.9324440529324205,0.994535519125683,0.8857142857142857,MOGFormer_H1_temp,1,0,444,0.778692321033248,1.0332951184954458,0.04677929188075819,0.04216636074216741
0.7200980759620189,0.8359642547147479,0.7019295397584872,0.7620413967482087,0.8985507246376812,0.8611111111111112,0.9393939393939394,0.6206896551724138,0.6923076923076923,0.5625,0.90625,0.90625,0.90625,0.775,0.7380952380952381,0.8157894736842105,0.4,0.6666666666666666,0.2857142857142857,0.982093830288013,0.9258330853902337,0.9957537154989384,0.9849129593810444,0.9892241379310345,0.884263897866839,0.9728501773049645,0.9726000592350186,0.9565443213296398,0.8744633404002395,0.9960967993754879,0.9129251700680272,MOGFormer_H1_temp,1,1,444,0.7647061375135087,0.9056619864247838,0.04557291912405114,0.030446133488102937
0.7173037403565056,0.8776926901050773,0.7239423076923077,0.8397884001681953,0.9850746268656716,0.9705882352941176,1.0,0.8275862068965517,0.8571428571428571,0.8,0.9238578680203046,0.900990099009901,0.9479166666666666,0.85,0.8292682926829268,0.8717948717948718,0.0,0.0,0.0,0.9715501857202771,0.8836771194156963,1.0,0.9999999999999998,0.992,0.8730192030192031,0.9660904255319149,0.955145443184768,0.9831889964340296,0.94420180247441,0.9164715066354411,0.6460191484001008,MOGFormer_H1_temp,1,2,444,0.7833135721950472,0.7175760174224395,0.05499201495396463,0.04192668403449812
0.7136462385044474,0.8420683841557763,0.7042445054945056,0.77541925033862,0.9850746268656716,0.9705882352941176,1.0,0.6875,0.6470588235294118,0.7333333333333333,0.898989898989899,0.8725490196078431,0.9270833333333334,0.7466666666666667,0.7777777777777778,0.717948717948718,0.25,1.0,0.14285714285714285,0.9703279060927203,0.8727515176115019,0.9994209612044007,0.9972434910603358,0.9832380952380952,0.8538873890779517,0.9618794326241135,0.9664510089181195,0.9398879266428936,0.8006399847153884,0.9672131147540983,0.7455357142857142,MOGFormer_H1_temp,1,3,444,0.8142937188900806,0.825198811336223,0.048021351036272544,0.0660190023873982
0.6900094966761634,0.8452885934367416,0.6798076923076922,0.7884653688957547,0.9846153846153847,0.9696969696969697,1.0,0.8,1.0,0.6666666666666666,0.9,0.8653846153846154,0.9375,0.7654320987654321,0.7380952380952381,0.7948717948717948,0.0,0.0,0.0,0.9774244970912696,0.8750372240558779,1.0,1.0,0.9758620689655172,0.8817142345597629,0.9672939068100358,0.9692720069532611,0.9635897435897436,0.847614475865173,0.9803767660910518,0.6765854029011924,MOGFormer_H1_temp,1,4,444,0.7821593883283793,0.7581047071402127,0.055088245521777504,0.037148281222298025
0.7606161861583549,0.8557040724447194,0.7680402930402931,0.7919415497185716,0.9538461538461539,0.9393939393939394,0.96875,0.7567567567567568,0.6666666666666666,0.875,0.8972972972972973,0.9325842696629213,0.8645833333333334,0.7951807228915663,0.75,0.8461538461538461,0.4,0.6666666666666666,0.2857142857142857,0.9701595156204872,0.8721355935899877,0.9984177215189873,0.99375,0.9744971264367817,0.8132188927560978,0.9739583333333333,0.9781652402258627,0.9624724061810154,0.8671323622707907,0.9414519906323185,0.7084114726971869,MOGFormer_H1_temp,2,0,444,0.7838842388991345,0.8248992481334091,0.0685749704900541,0.03538751555116552
0.7521096508350726,0.8520058376368514,0.7272086466165414,0.7936269863935521,0.9295774647887324,0.868421052631579,1.0,0.7272727272727273,0.7058823529411765,0.75,0.9207920792079208,0.8773584905660378,0.96875,0.7384615384615385,0.8888888888888888,0.631578947368421,0.4444444444444444,1.0,0.2857142857142857,0.9812242333333417,0.8669794627238845,1.0,0.9999999999999998,0.9759339080459769,0.7246190663561363,0.9813829787234043,0.9825417592658925,0.9667590027700831,0.8896921793648505,0.9820452771272444,0.7380443086325439,MOGFormer_H1_temp,2,1,444,0.8311436343963259,0.864315268407474,0.06692102896539787,0.04110721051692966
0.6700859465737514,0.8622761782505043,0.6860547785547786,0.8202039071462619,0.8533333333333334,0.7619047619047619,0.9696969696969697,0.6666666666666666,0.75,0.6,0.9523809523809523,0.967741935483871,0.9375,0.8780487804878049,0.8372093023255814,0.9230769230769231,0.0,0.0,0.0,0.9796890841399148,0.8008827348005599,0.9972978189538699,0.9909735654416504,0.9676190476190476,0.7170024330544464,0.9878102836879432,0.9896375072992816,0.9831889964340296,0.9320265757867697,0.9625292740046839,0.3747735924206513,MOGFormer_H1_temp,2,2,444,0.6805646762016064,0.7639387069298114,0.06138922195685535,0.03994565496319218
0.7251947239752118,0.8568294029462193,0.6992415917415917,0.7988665064432998,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.6923076923076923,0.8181818181818182,0.6,0.9090909090909091,0.8823529411764706,0.9375,0.8048780487804879,0.7674418604651163,0.8461538461538461,0.25,1.0,0.14285714285714285,0.9829301309894042,0.9294999479782572,0.9998069870681335,0.9991087344028519,0.9699047619047619,0.8335819735819735,0.9779476950354611,0.9796076237249469,0.9701137714382747,0.9026617256418306,0.9968774395003903,0.9325396825396823,MOGFormer_H1_temp,2,3,444,0.8036463877289227,0.7078632629072225,0.05265692127378363,0.05200997230253725
0.7161637256038347,0.8412715783476195,0.699084249084249,0.773133959561166,0.9552238805970149,0.9142857142857143,1.0,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.8934010152284264,0.8712871287128713,0.9166666666666666,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.2222222222222222,0.5,0.14285714285714285,0.9759916765870752,0.8682411689660844,0.9998009554140127,0.9990530303030303,0.9934865900383142,0.9377614630475042,0.965613799283154,0.9660590549323238,0.9579487179487178,0.8956746565684952,0.9631083202511774,0.5426576399790686,MOGFormer_H1_temp,2,4,444,0.8400510635641494,0.5511687975671073,0.05320736229735078,0.07932762273404965
