,d_rna,d_cnv,d_methy
RAB4A,0.005063802,0.07608047,-0.081144005
CD55,-0.022395462,0.07210854,-0.049713254
VANGL2,-0.010018155,0.08664945,-0.07663122
DHX9,0.013026282,0.054547936,-0.067574084
NDUFS2,-0.0015441477,0.09359431,-0.092050195
CLDN4,-0.023290023,0.13205066,-0.108760536
TBC1D20,-0.013383985,0.11237651,-0.09899244
SEZ6L2,-0.01420781,0.13459924,-0.1203917
NET1,-0.04039046,0.18449423,-0.14410388
LAPTM4B,-0.03628035,0.1654819,-0.12920156
ELF3,-0.008147523,0.065986186,-0.05783859
MAPRE1,-0.018056959,0.14859575,-0.13053897
LYPLA1,-0.048285723,0.21282208,-0.16453627
MUC1,-0.011875361,0.085026085,-0.073150724
ACLY,-0.002263397,0.06590271,-0.063639164
AEBP1,-0.02170004,0.13910949,-0.11740962
CALD1,-0.0068645775,0.10595879,-0.09909433
SDCBP,-0.04051073,0.21456847,-0.17405805
RPRD2,-0.00013527274,0.10490385,-0.104768604
ELMO3,-0.033021912,0.1712789,-0.13825688
SERPINB9,-0.021344453,0.13284934,-0.11150491
RARA,-0.03706409,0.15209582,-0.11503157
KCTD3,0.0021997094,0.07824132,-0.08044115
ABCC11,-0.026924014,0.09278226,-0.065858394
MAGEF1,-0.053186193,0.20104194,-0.14785561
PI4KB,0.003641799,0.07926971,-0.08291155
PPP2R5A,0.00095011294,0.052745223,-0.053695202
GOLT1A,-0.008311808,0.07404852,-0.06573677
SOX9,-0.021350145,0.12538984,-0.1040394
NME3,-0.023084223,0.13710731,-0.11402324
CTHRC1,-0.03340292,0.15025222,-0.1168493
CD4,-0.0479268,0.17185608,-0.12392911
GCC1,-0.010278136,0.09908247,-0.088804424
ANKH,-0.031236038,0.1461769,-0.11494079
CTF1,-0.008396268,0.12543085,-0.117034614
PXMP4,-0.036554053,0.15149549,-0.11494139
VWF,-0.046155915,0.17620754,-0.13005161
CRNKL1,-0.028601512,0.11962196,-0.091020584
WFDC2,-0.036664203,0.19654039,-0.15987617
KDELR2,-0.013700128,0.110048026,-0.09634775
PRR14,-0.026045665,0.13682884,-0.1107828
C1orf116,-0.018684015,0.06412089,-0.04543668
GMFG,-0.03510861,0.16640434,-0.13129574
SLC2A4RG,-0.064808264,0.21234405,-0.14753568
RSL1D1,-0.03376718,0.14023954,-0.10647231
STC1,0.008236602,-0.02269423,0.014457613
S100A4,-0.020194441,0.07491854,-0.054724038
ZNF880,-0.025060773,0.13500777,-0.109947085
CREG1,-0.007582873,0.07895526,-0.07137239
CD40,-0.043337688,0.20337185,-0.16003412
PRKAR1A,-0.042126864,0.16029716,-0.1181702
S100A6,-0.0074661374,0.10538328,-0.0979172
ECH1,-0.036611184,0.1576004,-0.12098932
GRAMD1A,-0.060343638,0.19048566,-0.13014197
RHOD,-0.053372085,0.18751684,-0.13414454
FCER1A,-0.011108384,0.07436153,-0.063253134
SCGB3A1,-0.016794503,0.10423586,-0.087441176
