K,PAC,cdf_area,delta_area,consensus_silhouette,kmeans_vs_gmm_ARI
2,0.01185092501564036,0.45365530208958865,0.45365530208958865,0.9964292092849072,1.0
3,0.15797658414514254,0.6549180411955723,0.44364683533719157,0.8565811851693145,0.9407389212817234
4,0.13531146661900081,0.7385078823176556,0.12763404863528818,0.8635754508472182,0.9779041703410677
5,0.21569398516400035,0.791243080294648,0.07140776590155506,0.658893154385844,0.9379550954691984
