,U0,U0b,U1,U2,MOFA+,RAW
U0,1.0,0.008873618562380758,0.005242572367926998,0.005242572367926998,-0.00030558773164742007,0.0018743477637910351
U0b,0.008873618562380758,1.0,0.9760044985872883,0.9760044985872883,0.9171403846246067,0.9522666771644365
U1,0.005242572367926998,0.9760044985872883,1.0,1.0,0.9404053956575839,0.9759717476836228
U2,0.005242572367926998,0.9760044985872883,1.0,1.0,0.9404053956575839,0.9759717476836228
MOFA+,-0.00030558773164742007,0.9171403846246067,0.9404053956575839,0.9404053956575839,1.0,0.9639961831155336
RAW,0.0018743477637910351,0.9522666771644365,0.9759717476836228,0.9759717476836228,0.9639961831155336,1.0
