modality,cv_auc_mean,cv_auc_std,null_mean,perm_p
RNA,0.5724913441799185,0.10764470525791792,0.4993752412905599,0.05970149253731343
CNV,1.0,0.0,0.49969966602322513,0.004975124378109453
Methy,0.5990325397554923,0.09588042910169821,0.4971191668964672,0.009950248756218905
All,1.0,0.0,0.4975288552869443,0.004975124378109453
