covariate,type,effect,aux,perm_p,holm_p,role
CNV_burden,cont,0.4997834986616281,0.9997834986616281,0.0001999600079984003,0.0011997600479904018,biology
TSS,cat,0.28345278671043805,,0.8334333133373325,1.0,technical
stage,cat,0.12555085359588974,,0.14117176564687062,0.5818836232753449,clinical
M,cat,0.10727505072446486,,0.11637672465506899,0.5818836232753449,clinical
N,cat,0.04338818088208764,,0.9064187162567486,1.0,clinical
age,cont,0.004054479609510331,0.49594552039048967,0.9088182363527294,1.0,clinical
