variant,scaling,PAC,cdf_area,consensus_silhouette,dims
RAW,zscore,0.0,0.45052126215817706,0.999436701849986,1299
U2,zscore,0.01185092501564036,0.45365530208958865,0.9964292092849072,128
U0b,zscore,0.011904549110733756,0.45773388527805825,0.9982024141460253,128
U1,zscore,0.011922423809098222,0.45366612932156325,0.9962335509161387,128
MOFA+,raw,0.023773348824738583,0.4466023603612128,0.9912085696805376,15
U0,zscore,0.2531057288408258,0.4759507202426928,0.8841283042492838,128
