patient_id,burden_universe,burden_genome,cluster,PC1
TCGA-3C-AALK,0.29330254041570436,0.1270424836601307,A,-3.572106199302392
TCGA-4H-AAAK,0.9376443418013857,0.9273459383753502,B,6.086999055609332
TCGA-5L-AAT0,0.23556581986143188,0.11257002801120448,A,-5.384262328526917
TCGA-5L-AAT1,0.953810623556582,0.9534897292250234,B,6.616723557189932
TCGA-A1-A0SE,0.3648960739030023,0.23675303454715219,A,-3.1257124907448848
TCGA-A1-A0SF,0.9330254041570438,0.8770424836601307,B,5.511697233757497
TCGA-A1-A0SG,0.17090069284064666,0.13013538748832867,A,-4.113508091807688
TCGA-A1-A0SH,0.3579676674364896,0.23336834733893558,A,-3.1312797493380318
TCGA-A2-A0CK,0.9353348729792148,0.9304971988795518,B,7.208361511561058
TCGA-A2-A0CO,0.24480369515011546,0.15301120448179273,A,-3.896965527610997
TCGA-A2-A0CR,0.16397228637413394,0.13311157796451914,A,-6.224645675725573
TCGA-A2-A0EP,0.0,0.0,A,-5.55545628722164
TCGA-A2-A0EU,1.0,1.0,B,7.686497842249327
TCGA-A2-A0SU,0.9376443418013857,0.8950746965452848,B,4.744459359543272
TCGA-A2-A0SY,0.2840646651270208,0.14635854341736695,A,-3.1095816847778326
TCGA-A2-A0T5,0.2979214780600462,0.12196545284780579,A,-2.266532284622155
TCGA-A2-A0T6,0.23094688221709006,0.18178104575163398,A,-1.7923543073488657
TCGA-A2-A0T7,0.49191685912240185,0.48891223155929037,A,-5.830951287864766
TCGA-A2-A0YC,0.3371824480369515,0.17151027077497666,A,-2.3342256535651624
TCGA-A2-A0YD,0.27713625866050806,0.1395891690009337,A,-1.0636819019086035
TCGA-A2-A0YI,0.9607390300230947,0.9278711484593838,B,7.738118186422599
TCGA-A2-A0YK,0.8036951501154734,0.8685807656395892,B,5.949650859182382
TCGA-A2-A0YL,0.26096997690531176,0.13696311858076565,A,-6.125444310602419
TCGA-A2-A1FV,0.42494226327944573,0.3457049486461251,A,0.08128849343723114
TCGA-A2-A1FZ,0.20092378752886836,0.10416666666666667,A,-2.659800066700101
TCGA-A2-A1G0,0.9676674364896074,0.9412931839402428,B,10.634618563639597
TCGA-A2-A1G6,0.0,0.0,A,-4.992333328344341
TCGA-A2-A259,0.26558891454965355,0.1336951447245565,A,-5.527881184905029
TCGA-A2-A25A,0.8706697459584296,0.8940242763772176,B,7.009325815242757
TCGA-A2-A3KC,0.2817551963048499,0.1844654528478058,A,-2.6146472638820124
TCGA-A2-A3KD,0.9468822170900693,0.9341153127917834,B,7.07075756351921
TCGA-A2-A4RW,0.4064665127020785,0.349906629318394,A,-4.816895618897922
TCGA-A2-A4S0,0.0,0.0,A,-4.526751544527509
TCGA-A2-A4S2,0.45958429561200925,0.3458800186741363,A,-1.2683102196873695
TCGA-A7-A0D9,0.2956120092378753,0.19024276377217553,A,-2.034691629206597
TCGA-A7-A0DC,0.9353348729792148,0.9151493930905695,B,6.1420682828581885
TCGA-A7-A13F,0.9653579676674365,0.9071545284780579,B,10.013690930835695
TCGA-A7-A13G,0.2909930715935335,0.13276143790849673,A,-2.2192728475437806
TCGA-A7-A13H,0.22863741339491916,0.1700513538748833,A,-4.375456158858129
TCGA-A7-A26E,0.23094688221709006,0.1563375350140056,A,-2.861890805769396
TCGA-A7-A26H,0.9745958429561201,0.9568160597572363,B,10.436470760618523
TCGA-A7-A26J,0.674364896073903,0.4530812324929972,A,0.9482579562878081
TCGA-A7-A3IY,0.03695150115473441,0.06973622782446312,A,-7.0296337393037005
TCGA-A7-A3J0,1.0,1.0,B,5.990976807463485
TCGA-A7-A3J1,0.2632794457274827,0.2334267040149393,A,-5.335211146981585
TCGA-A7-A3RF,0.0023094688221709007,0.0027427637721755367,A,-4.073170667721266
TCGA-A7-A425,1.0,0.995389822595705,B,11.19942246588949
TCGA-A7-A426,0.8660508083140878,0.9028944911297853,B,7.3185095040212005
TCGA-A7-A4SA,0.8383371824480369,0.752859477124183,B,5.501422393417748
TCGA-A7-A4SC,0.2979214780600462,0.2538515406162465,A,-3.2775551794281284
TCGA-A7-A5ZX,0.19168591224018475,0.09337068160597572,A,-3.500711592895998
TCGA-A8-A08O,0.8960739030023095,0.7956932773109243,B,5.433518958074902
TCGA-A8-A0A6,0.279445727482679,0.23360177404295052,A,-3.096848922407473
TCGA-A8-A0AD,0.9076212471131639,0.8871381886087768,B,6.415540242209137
TCGA-AC-A23E,0.9422632794457275,0.9171918767507002,B,5.977151040576583
TCGA-AC-A23G,0.21939953810623555,0.1315359477124183,A,-3.6950300160505085
TCGA-AC-A2B8,0.9399538106235565,0.9512721755368814,B,8.518213231118954
TCGA-AC-A2FB,0.020785219399538105,0.007644724556489262,A,-5.26927499167025
TCGA-AC-A2FE,0.9330254041570438,0.900968720821662,B,8.048789854531883
TCGA-AC-A2FG,0.21939953810623555,0.11636321195144725,A,-3.4402255059543094
TCGA-AC-A2FM,0.8799076212471132,0.7536764705882353,B,6.431583137503356
TCGA-AC-A2FO,0.19630484988452657,0.13830532212885155,A,-4.621537494156569
TCGA-AC-A2QI,0.2586605080831409,0.13089402427637722,A,-3.03244163471797
TCGA-AC-A3BB,0.9561200923787528,0.9362745098039216,B,6.6747569071283195
TCGA-AC-A3EH,0.9399538106235565,0.931781045751634,B,8.338942645989727
TCGA-AC-A3HN,0.9515011547344111,0.9186507936507936,B,7.707557490546448
TCGA-AC-A3OD,0.3348729792147806,0.3228874883286648,A,-2.5322458689080882
TCGA-AC-A3QP,0.12240184757505773,0.13031045751633988,A,-5.910434892608058
TCGA-AC-A3QQ,0.3418013856812933,0.19135154061624648,A,-0.9609969677364011
TCGA-AC-A3TM,0.2702078521939954,0.1571545284780579,A,-4.094735915891091
TCGA-AC-A3TN,0.20785219399538107,0.09675536881419235,A,-2.838246865754278
TCGA-AC-A3W7,0.3625866050808314,0.23721988795518206,A,-5.077880941224752
TCGA-AC-A3YI,0.07621247113163972,0.018440709617180206,A,-4.993079797305246
TCGA-AC-A3YJ,0.15242494226327943,0.08922735760971055,A,-3.6328500681893887
TCGA-AC-A4ZE,0.9330254041570438,0.8515989729225023,B,7.6296506333627665
TCGA-AC-A5XU,0.8822170900692841,0.8039799253034547,B,4.8522338651359656
TCGA-AC-A62Y,0.815242494226328,0.8084150326797386,B,4.440857851553105
TCGA-AC-A6IV,0.3233256351039261,0.20990896358543418,A,-4.864654087729554
TCGA-AC-A6IX,0.3695150115473441,0.2954014939309057,A,-5.342477049181096
TCGA-AC-A6NO,0.3810623556581986,0.23774509803921567,A,-1.7435255366733498
TCGA-AC-A8OP,0.9330254041570438,0.9154411764705882,B,8.357813033517868
TCGA-AC-A8OR,0.0023094688221709007,0.016398225957049487,A,-5.286632361091085
TCGA-AC-A8OS,0.8406466512702079,0.9075046685340803,B,6.637153871757956
TCGA-AN-A0XL,0.6651270207852193,0.3727824463118581,A,-1.1813395391846815
TCGA-AN-A0XO,0.3071593533487298,0.23535247432306255,A,-2.4639844710915813
TCGA-AN-A0XP,0.2702078521939954,0.12815126050420167,A,-2.3817991549792374
TCGA-AN-A0XS,0.15011547344110854,0.11455415499533146,A,-3.8705653136188616
TCGA-AN-A0XT,0.792147806004619,0.6977124183006536,B,3.572767000649837
TCGA-AN-A0XV,0.12702078521939955,0.06489262371615313,A,-4.430490210826153
TCGA-AO-A0JF,0.17782909930715934,0.07148692810457516,A,-4.362262621834915
TCGA-AO-A0JG,0.36027713625866054,0.30479691876750703,A,-4.221588514616654
TCGA-AO-A0JI,0.21016166281755197,0.19374416433239963,A,-1.1105517878529425
TCGA-AO-A0JJ,0.9399538106235565,0.9214519140989729,B,7.116980521645133
TCGA-AO-A125,0.29330254041570436,0.1736111111111111,A,0.1392617268737585
TCGA-AO-A12C,0.9237875288683602,0.867530345471522,B,8.556565234732203
TCGA-AO-A12G,0.3972286374133949,0.32481325863678806,A,-3.261057266951038
TCGA-AQ-A1H2,0.4110854503464203,0.3260387488328665,A,-3.758793701326924
TCGA-AQ-A1H3,0.5080831408775982,0.23068394024276379,A,-1.330934930200506
TCGA-AQ-A7U7,0.3140877598152425,0.2610294117647059,A,-2.813842586036447
TCGA-AR-A0TR,0.9468822170900693,0.924077964519141,B,6.985976207071074
TCGA-AR-A1AK,0.6397228637413395,0.3765172735760971,A,-1.6485501230771316
TCGA-AR-A1AL,0.20554272517321015,0.11262838468720822,A,-3.7361430400552176
TCGA-AR-A1AM,0.16166281755196305,0.13392857142857142,A,-4.991802317661824
TCGA-AR-A1AN,0.42725173210161665,0.34407096171802054,A,-6.132612245411101
TCGA-AR-A1AU,0.28868360277136257,0.21854575163398693,A,-5.711211768206057
TCGA-AR-A1AX,0.42494226327944573,0.31851073762838467,A,-5.408041012146828
TCGA-AR-A24M,0.24018475750577367,0.1597222222222222,A,-1.8571307355152855
TCGA-AR-A24O,0.057736720554272515,0.1032329598506069,A,-5.7393680928021125
TCGA-AR-A24P,0.3556581986143187,0.22029645191409897,A,-2.8872791269324134
TCGA-AR-A24W,1.0,1.0,B,11.222396538794827
TCGA-AR-A24X,0.20785219399538107,0.11052754435107376,A,-1.5290027767801155
TCGA-AR-A252,0.009237875288683603,0.008520074696545284,A,-5.807150788004715
TCGA-AR-A255,0.7621247113163973,0.6227240896358543,B,5.577755542814157
TCGA-AR-A2LE,0.20554272517321015,0.09605508870214753,A,-4.680379269265884
TCGA-AR-A2LJ,0.9468822170900693,0.9393674136321195,B,5.9629466746276565
TCGA-AR-A2LM,0.2586605080831409,0.13602941176470587,A,-3.0306305646270766
TCGA-AR-A2LN,0.9699769053117783,0.9599673202614379,B,7.755769954162737
TCGA-AR-A2LO,0.8983833718244804,0.7832049486461251,B,7.809583823996683
TCGA-AR-A2LQ,0.0,0.0,A,-5.309411898564412
TCGA-AR-A5QM,0.9653579676674365,0.9509803921568627,B,11.92011146471928
TCGA-AR-A5QN,0.29330254041570436,0.22175536881419233,A,-2.2576344312571583
TCGA-AR-A5QP,0.9838337182448037,0.9457866479925303,B,9.915139018687151
TCGA-B6-A0RG,0.9330254041570438,0.8953081232492998,B,7.264756364376109
TCGA-B6-A0RM,0.14780600461893764,0.07370448179271709,A,-3.866615199490405
TCGA-B6-A0RN,0.21939953810623555,0.11292016806722689,A,0.2167290327444479
