gene,slope_headL,rho_pred,rho_pred_lo,rho_pred_hi
CCND1,-0.11862544318040212,-0.2121921369364598,-0.2275337458446422,-0.19970992374069765
MDM2,-0.10138422263165316,-0.192827510541033,-0.20870514889238698,-0.18067049543547067
AURKA,-0.05590659677982332,-0.0761213593454058,-0.08338677969017659,-0.07040894160398807
PPM1D,-0.06800420371194682,-0.12721610633751307,-0.13719021795182462,-0.1186117576094326
FGF3,-0.10575605593621733,-0.45676667066778043,-0.4786829889883292,-0.436546661420583
FGF19,-0.09971557669341569,-0.4254859511605484,-0.4444336266728455,-0.4089098389547313
