condition,label,macro_f1_mean,ci95_lo,ci95_hi,delta_vs_full,n,f1__BRCA_Basal,f1__BRCA_Her2,f1__BRCA_LumA,f1__BRCA_LumB,f1__BRCA_Normal
full,RNA+CNV+methy,0.8134721520343909,0.7812131339721953,0.8457311700965866,0.0,10,0.9721315190119355,0.7451434883248009,0.9099412683678578,0.7846102964331731,0.655534188034188
rna_methy,RNA+methy (no CNV),0.7762097310701389,0.7582836376394004,0.7941358245008774,-0.03726242096425203,20,0.9692324856294364,0.6977480106100794,0.890719391762852,0.7271383111378699,0.5962104562104562
rna_cnv,RNA+CNV (no methy),0.8005681951916308,0.7704773323549546,0.830659058028307,-0.012903956842760134,10,0.9648135136008271,0.7034886372706645,0.9016979763655716,0.7695925284139475,0.6632483203071439
rna_only,RNA only,0.7366722636449718,0.6533686013999525,0.8199759258899912,-0.07679988838941909,10,0.9525116459446521,0.6219654487389041,0.8857367932882687,0.713438805544409,0.5097086247086248
