condition,label,macro_f1_mean,ci95_lo,ci95_hi,delta_vs_full,n,f1__BRCA_Basal,f1__BRCA_Her2,f1__BRCA_LumA,f1__BRCA_LumB,f1__BRCA_Normal
full,RNA+CNV+methy,0.8283219480544451,0.8118966226859723,0.844747273422918,0.0,25,0.9724034549860473,0.773776372766432,0.9135287675717365,0.7847894788363441,0.6971116661116662
rna_methy,RNA+methy (no CNV),0.7905877236420767,0.7757149897438025,0.805460457540351,-0.0377342244123684,50,0.96201255187757,0.7528473542653024,0.9028667514031063,0.7634653739178175,0.5717465867465867
rna_cnv,RNA+CNV (no methy),0.8049212647700464,0.7814634310335815,0.8283790985065114,-0.023400683284398704,25,0.9552306267729992,0.7101315946468961,0.9138071732532235,0.7672666419480022,0.6781702872291108
rna_only,RNA only,0.7237380656839448,0.6820937790083964,0.7653823523594933,-0.10458388237050031,25,0.9134896902984317,0.6169947080810898,0.8960897940111227,0.7368751469527973,0.4552409890762832
