layer,distance,head,bias
0,0,0,0.11825133860111237
0,0,1,-0.05028513818979263
0,0,2,-0.2046552151441574
0,0,3,0.28578275442123413
0,0,4,0.5802459120750427
0,0,5,0.0005889054737053812
0,0,6,0.01532273180782795
0,0,7,0.00012650304415728897
0,1,0,-0.26046332716941833
0,1,1,-0.047761742025613785
0,1,2,1.446601390838623
0,1,3,-0.059918735176324844
0,1,4,1.017075538635254
0,1,5,-0.0008237562142312527
0,1,6,1.941287636756897
0,1,7,-6.471428787335753e-05
0,2,0,-0.24384954571723938
0,2,1,0.021697571501135826
0,2,2,1.313820719718933
0,2,3,-0.271570086479187
0,2,4,-0.8737961649894714
0,2,5,0.0004898362094536424
0,2,6,0.5781701803207397
0,2,7,0.00010440874029882252
0,3,0,-0.10501120984554291
0,3,1,-0.010487094521522522
0,3,2,1.0652248859405518
0,3,3,-0.2937459945678711
0,3,4,-0.15983743965625763
0,3,5,-0.0013015196891501546
0,3,6,0.2238546907901764
0,3,7,4.817489752895199e-05
0,4,0,0.09268273413181305
0,4,1,-0.0009721851092763245
0,4,2,1.3229354619979858
0,4,3,-0.25114625692367554
0,4,4,-0.8361780047416687
0,4,5,-0.0006709115696139634
0,4,6,0.034058827906847
0,4,7,-4.0365139284403995e-05
0,5,0,-0.28621429204940796
0,5,1,0.006132566370069981
0,5,2,1.3382372856140137
0,5,3,-0.21708397567272186
0,5,4,-1.2238208055496216
0,5,5,-0.0009299833327531815
0,5,6,0.0959005057811737
0,5,7,-8.083574357442558e-05
0,6,0,-0.24028536677360535
0,6,1,0.021342046558856964
0,6,2,0.6240950226783752
0,6,3,-0.010892229154706001
0,6,4,0.45220986008644104
0,6,5,-0.0014603439485654235
0,6,6,-1.2643232345581055
0,6,7,-2.9357612220337614e-05
1,0,0,0.012602941133081913
1,0,1,1.49936044216156
1,0,2,-8.374939170607831e-06
1,0,3,0.23943030834197998
1,0,4,-0.03165753558278084
1,0,5,8.009749763004947e-06
1,0,6,0.09191837906837463
1,0,7,-0.000363429106073454
1,1,0,-0.02297106944024563
1,1,1,-1.2034844160079956
1,1,2,-4.8940323722490575e-06
1,1,3,-0.12178798019886017
1,1,4,-0.12027357518672943
1,1,5,-9.657058399170637e-06
1,1,6,-0.09460184723138809
1,1,7,0.0002689338580239564
1,2,0,0.021914320066571236
1,2,1,1.386398434638977
1,2,2,5.4358079069061205e-06
1,2,3,-0.2878110110759735
1,2,4,0.006137968506664038
1,2,5,-7.534673841291806e-06
1,2,6,-0.03161430358886719
1,2,7,-0.0002117972617270425
1,3,0,-0.02358032949268818
1,3,1,0.9653964042663574
1,3,2,1.2727663261102862e-06
1,3,3,0.038530826568603516
1,3,4,0.12628284096717834
1,3,5,4.565592917060712e-06
1,3,6,-0.06987077742815018
1,3,7,0.000506518641486764
1,4,0,-0.013004603795707226
1,4,1,0.08373071253299713
1,4,2,8.385334695049096e-06
1,4,3,-0.18583451211452484
1,4,4,-0.0624566413462162
1,4,5,-8.185977094399277e-06
1,4,6,-0.06728793680667877
1,4,7,-0.0003630557330325246
1,5,0,-0.008134123869240284
1,5,1,-0.8201627731323242
1,5,2,3.112386139036971e-06
1,5,3,-0.01484091766178608
1,5,4,-0.12668044865131378
1,5,5,9.653767847339623e-06
1,5,6,0.1059049442410469
1,5,7,-4.4852495193481445e-05
1,6,0,-0.03337040916085243
1,6,1,-0.41998016834259033
1,6,2,-4.558909495244734e-06
1,6,3,-0.2779483497142792
1,6,4,0.09661446511745453
1,6,5,3.953590294258902e-06
1,6,6,0.06256741285324097
1,6,7,0.0001946829434018582
2,0,0,0.05536888912320137
2,0,1,-0.01918862760066986
2,0,2,-0.8598251342773438
2,0,3,-9.064690857485402e-06
2,0,4,-3.218455094611272e-05
2,0,5,5.79909086227417
2,0,6,0.01723671704530716
2,0,7,-4.942800660501234e-05
2,1,0,-0.012859808281064034
2,1,1,-0.05947744846343994
2,1,2,-0.8551228046417236
2,1,3,-2.45300088863587e-05
2,1,4,6.897182174725458e-05
2,1,5,7.13198709487915
2,1,6,0.011015604250133038
2,1,7,-2.024003697442822e-05
2,2,0,0.06387115269899368
2,2,1,-0.07151611894369125
2,2,2,0.517246663570404
2,2,3,2.6560046535450965e-05
2,2,4,-0.000385119958082214
2,2,5,3.8181071281433105
2,2,6,-0.02342364192008972
2,2,7,-2.5484141588094644e-05
2,3,0,-0.045570116490125656
2,3,1,0.06356251239776611
2,3,2,0.22806686162948608
2,3,3,3.1846564525039867e-05
2,3,4,0.00040255027124658227
2,3,5,3.2842905521392822
2,3,6,0.010961737483739853
2,3,7,-3.8839742046548054e-05
2,4,0,0.008827324956655502
2,4,1,-0.019516604021191597
2,4,2,0.27841418981552124
2,4,3,-2.3498212613048963e-05
2,4,4,-0.00027456210227683187
2,4,5,5.346617221832275
2,4,6,0.01246563345193863
2,4,7,-1.4252331311581656e-05
2,5,0,-0.014849166385829449
2,5,1,0.06461713463068008
2,5,2,-0.651772141456604
2,5,3,-6.740141998307081e-06
2,5,4,-9.441973088542e-05
2,5,5,6.021453380584717
2,5,6,-0.005245579406619072
2,5,7,2.6285832063877024e-05
2,6,0,0.04530303552746773
2,6,1,-0.005052414257079363
2,6,2,-0.7910128235816956
2,6,3,2.4062543161562644e-05
2,6,4,8.433830953435972e-05
2,6,5,-4.996299743652344
2,6,6,0.012122112326323986
2,6,7,-6.273495819186792e-05
