macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,f1__BRCA_Normal,precision__BRCA_Normal,recall__BRCA_Normal,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,roc_auc__BRCA_Normal,pr_auc__BRCA_Normal,model,repeat,fold,n_selected,best_inner_f1
0.9104084843215279,0.9197677193100533,0.90764652014652,0.882854841909342,0.9841269841269841,1.0,0.96875,0.8648648648648649,0.7619047619047619,1.0,0.9393939393939394,0.9117647058823529,0.96875,0.8405797101449275,0.9666666666666667,0.7435897435897436,0.9230769230769231,1.0,0.8571428571428571,0.9914328309933353,0.9689771734156668,0.9990110759493671,0.995777027027027,0.997844827586207,0.9801470588235295,0.9802748226950354,0.9825530191722821,0.9847172694854814,0.9523428279895618,0.9953161592505855,0.9340659340659339,MOGFormer_BASELINE,1,0,444,0.8455752867184609
0.8167009243866692,0.8621151161596836,0.8162949988607883,0.7935033426229721,0.9230769230769231,0.9375,0.9090909090909091,0.6896551724137931,0.7692307692307693,0.625,0.9175257731958762,0.9081632653061225,0.9270833333333334,0.7532467532467533,0.7435897435897436,0.7631578947368421,0.8,0.75,0.8571428571428571,0.9803692434066035,0.921149582482208,0.9953676896352056,0.9849458157398827,0.9834770114942528,0.8533415482464395,0.9745124113475176,0.9742594947458098,0.950831024930748,0.8360581965360514,0.9976580796252927,0.9571428571428571,MOGFormer_BASELINE,1,1,444,0.8541874720902853
0.7793480464534184,0.8476743681421585,0.8184340659340659,0.7766152046269,0.9705882352941176,0.9428571428571428,1.0,0.6842105263157895,0.5652173913043478,0.8666666666666667,0.900523560209424,0.9052631578947369,0.8958333333333334,0.7164179104477612,0.8571428571428571,0.6153846153846154,0.625,0.5555555555555556,0.7142857142857143,0.9822452489224199,0.9059533491202345,1.0,0.9999999999999998,0.9862857142857142,0.8720090410479426,0.9737367021276596,0.9746984837280547,0.9621327899473595,0.8728028105687651,0.9890710382513661,0.8102564102564103,MOGFormer_BASELINE,1,2,444,0.8957361085872104
0.801160251855315,0.8660962233275546,0.8164622877122877,0.803413770028792,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.7741935483870968,0.75,0.8,0.8950276243093923,0.9529411764705882,0.84375,0.7954545454545454,0.7142857142857143,0.8974358974358975,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.974713132564759,0.8602418859034721,0.9996139741362672,0.9981904607573056,0.988952380952381,0.8667557279321985,0.969636524822695,0.9709403369808999,0.9629818305314994,0.8514736974977497,0.9523809523809524,0.6138492063492064,MOGFormer_BASELINE,1,3,444,0.8984029304029304
0.7626089324618736,0.8581664764671302,0.7388736263736264,0.7920571733846851,1.0,1.0,1.0,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.7764705882352941,0.717391304347826,0.8461538461538461,0.4,0.6666666666666666,0.2857142857142857,0.9820159230258945,0.8916450946759318,1.0,1.0,0.9766283524904215,0.8770168323739751,0.9788306451612903,0.9799462865652999,0.9671794871794872,0.8733402765183061,0.9874411302982732,0.7279220779220779,MOGFormer_BASELINE,1,4,444,0.8475902603771456
0.7958453401136328,0.8694433471615756,0.83628663003663,0.8025458873205031,0.9523809523809523,0.967741935483871,0.9375,0.6829268292682927,0.56,0.875,0.918918918918919,0.9550561797752809,0.8854166666666666,0.8,0.8333333333333334,0.7692307692307693,0.625,0.5555555555555556,0.7142857142857143,0.9724319051153252,0.8912433727424103,0.9992088607594937,0.996267825311943,0.9852729885057471,0.8640678765678765,0.9735150709219859,0.9781574378105273,0.9634912548819834,0.864806756819023,0.9406713505074162,0.7529169672026814,MOGFormer_BASELINE,2,0,444,0.9022452124147039
0.8224805812848105,0.8783445937784606,0.8111685463659148,0.8184469663286359,0.9850746268656716,0.9705882352941176,1.0,0.6666666666666666,0.7142857142857143,0.625,0.9319371727748691,0.9368421052631579,0.9270833333333334,0.759493670886076,0.7317073170731707,0.7894736842105263,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.985785250990725,0.9198306770945053,0.9998069870681335,0.9991087344028519,0.9867097701149425,0.8754038720231175,0.9829343971631206,0.9844175576187665,0.9657202216066482,0.8802665114710805,0.9937548790007806,0.8599567099567098,MOGFormer_BASELINE,2,1,444,0.9059103762054581
0.8895709654330345,0.9132092831548367,0.8973230935730936,0.8728798948830147,0.9846153846153847,1.0,0.9696969696969697,0.8275862068965517,0.8571428571428571,0.8,0.9340659340659341,0.9883720930232558,0.8854166666666666,0.8444444444444444,0.7450980392156863,0.9743589743589743,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9919772152253682,0.9627633111616518,0.9934375603165413,0.9846223428312979,0.9912380952380953,0.9377777777777778,0.9915780141843972,0.9923594379655237,0.9867549668874173,0.9510050491817121,0.9968774395003903,0.9480519480519478,MOGFormer_BASELINE,2,2,444,0.8733097150055109
0.7444915110356537,0.8533312706639263,0.7229965867465867,0.783148276274685,0.9354838709677419,1.0,0.8787878787878788,0.6875,0.6470588235294118,0.7333333333333333,0.91,0.875,0.9479166666666666,0.7894736842105263,0.8108108108108109,0.7692307692307693,0.4,0.6666666666666666,0.2857142857142857,0.9808270090892044,0.863274236149371,0.9996139741362672,0.9981904607573056,0.9680000000000001,0.7686923959730977,0.9800531914893618,0.9814021705546113,0.967396841569027,0.8938841649741378,0.9890710382513661,0.6742019884877027,MOGFormer_BASELINE,2,3,444,0.8872017837235229
0.7922560874480149,0.8651351269473333,0.8143498168498169,0.7982156343145377,0.9411764705882353,0.8888888888888888,1.0,0.8275862068965517,0.8571428571428571,0.8,0.8864864864864865,0.9213483146067416,0.8541666666666666,0.8354430379746836,0.825,0.8461538461538461,0.47058823529411764,0.4,0.5714285714285714,0.979948063919396,0.8849075983699393,0.9998009554140127,0.9990530303030303,0.9911877394636015,0.9152872236695766,0.9681899641577061,0.9687592233609957,0.968034188034188,0.8999466730242526,0.9725274725274725,0.6414918414918414,MOGFormer_BASELINE,2,4,444,0.8900433140790238
