gene,slope_headL,rho_pred,rho_pred_lo,rho_pred_hi
CCND1,-0.11221035147706675,-0.32762058866369265,-0.3568808076919088,-0.3011314493903218
MDM2,-0.10419593006372453,-0.2782962136007527,-0.3038760020025899,-0.2542626368829779
AURKA,-0.03886429468790692,-0.07405320020221653,-0.08760326990590027,-0.06502846170435404
PPM1D,-0.0626065256074071,-0.1419397281356087,-0.1604029790288538,-0.12959808127349373
FGF3,-0.10008425004780293,-0.4987059681871261,-0.53207963014522,-0.4704298774884886
FGF19,-0.09203695848894618,-0.462496878014031,-0.49701649805386144,-0.4354211324858563
