gene,cluster,n,rho_pred
CCND1,A,219,-0.3495958676302985
CCND1,B,116,-0.293201556880737
MDM2,A,219,-0.28634034665411123
MDM2,B,116,-0.2651165223215504
AURKA,A,219,-0.057321322742198665
AURKA,B,116,-0.11907089599312934
PPM1D,A,219,-0.14832767297358918
PPM1D,B,116,-0.13335836952610966
FGF3,A,219,-0.5218716894916086
FGF3,B,116,-0.4752926805354493
FGF19,A,219,-0.4807439624656252
FGF19,B,116,-0.447826806757437
