layer,head,b_grn_act,b_grn_repr
0,0,0.3330283761024475,0.14403903484344482
0,1,-0.06279943883419037,-0.09743265807628632
0,2,-0.13380032777786255,-0.08085224032402039
0,3,-0.006071425508707762,-0.02484123408794403
0,4,0.012402757070958614,-0.008513098582625389
0,5,0.04483933374285698,0.044155459851026535
0,6,-0.0358927845954895,-0.10672265291213989
0,7,-0.0027252216823399067,0.10565272718667984
1,0,0.28472402691841125,0.07036915421485901
1,1,0.21658000349998474,0.11593755334615707
1,2,-0.0301651731133461,0.014714615419507027
1,3,-0.017819855362176895,-0.02100389637053013
1,4,0.0065062325447797775,-0.03162895888090134
1,5,0.21342022716999054,0.14834243059158325
1,6,-0.00037311145570129156,0.11897934973239899
1,7,0.05279618501663208,0.04091465473175049
2,0,0.11601534485816956,0.11711481213569641
2,1,0.0028324518352746964,8.343678018718492e-06
2,2,-0.008546344004571438,-0.0014399574138224125
2,3,-0.007557906210422516,0.11132653057575226
2,4,-0.0017148415790870786,-0.0016100580105558038
2,5,0.032575156539678574,-0.04824763908982277
2,6,0.08661294728517532,0.1958257406949997
2,7,-0.17021046578884125,0.035056982189416885
