macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,f1__BRCA_Normal,precision__BRCA_Normal,recall__BRCA_Normal,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,roc_auc__BRCA_Normal,pr_auc__BRCA_Normal,model,repeat,fold,n_selected,best_inner_f1,M_condition
0.8552428259673513,0.8729470692895721,0.9050824175824175,0.8205159187786437,0.9841269841269841,1.0,0.96875,0.8205128205128205,0.6956521739130435,1.0,0.8850574712643678,0.9871794871794872,0.8020833333333334,0.7865168539325843,0.7,0.8974358974358975,0.8,0.75,0.8571428571428571,0.9849757495889644,0.9211285021534881,0.9982199367088608,0.993140243902439,0.9974856321839081,0.9777661064425771,0.9765070921985816,0.9800925750041871,0.966717609101715,0.8856854758586242,0.9859484777517564,0.7689581095596132,MOGFormer_BASELINE,1,0,444,0.8291201879881125,full
0.5101760608320067,0.6209185681088035,0.5520833333333334,0.5399414233651725,0.8214285714285714,0.9583333333333334,0.71875,0.5294117647058824,0.5,0.5625,0.6388888888888888,0.9583333333333334,0.4791666666666667,0.5611510791366906,0.39,1.0,0.0,0.0,0.0,0.9597543104689057,0.8605572014516145,0.9912974683544304,0.9776145557239899,0.9565373563218391,0.7237477482825718,0.9602171985815603,0.959293851668097,0.9594158600781117,0.8551253946282178,0.931303669008587,0.7870044569551957,MOGFormer_BASELINE,1,0,444,0.8291201879881125,rna_only
0.106318793314309,0.08710708691827408,0.225,0.07110779256028092,0.0,0.0,0.0,0.18181818181818182,0.3333333333333333,0.125,0.0,0.0,0.0,0.34977578475336324,0.21195652173913043,1.0,0.0,0.0,0.0,0.7458357276485154,0.4100201113263031,0.752373417721519,0.44852535991662523,0.7514367816091954,0.30184176424565934,0.7982047872340425,0.773425239049614,0.695703854644252,0.36129923702122807,0.7314597970335676,0.16500895639838886,MOGFormer_BASELINE,1,0,444,0.8291201879881125,cnv_only
0.06842105263157895,0.07022160664819944,0.2,0.007630779559301509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34210526315789475,0.20634920634920634,1.0,0.0,0.0,0.0,0.6960956229783823,0.3595640501873831,0.7984572784810127,0.4474198133749819,0.6174568965517242,0.10719636611221363,0.839095744680851,0.8492724717232103,0.6649685854983868,0.3217052417918371,0.5604996096799375,0.07222635793467255,MOGFormer_BASELINE,1,0,444,0.8291201879881125,methy_only
0.8810901843799508,0.8742360530839689,0.9126602564102564,0.8218327620885841,0.967741935483871,1.0,0.9375,0.8484848484848485,0.8235294117647058,0.875,0.8850574712643678,0.9871794871794872,0.8020833333333334,0.7708333333333334,0.6491228070175439,0.9487179487179487,0.9333333333333333,0.875,1.0,0.9885962151895246,0.9617976289426313,0.9956487341772152,0.9872685185185185,0.9960488505747126,0.9553861160769056,0.9766179078014184,0.9808373094257101,0.9762268636440823,0.9172422324380539,0.9984387197501952,0.9682539682539681,MOGFormer_BASELINE,1,0,444,0.8291201879881125,rna_cnv
0.6285385749477516,0.7456071815488142,0.6929487179487179,0.683171873771562,0.9253731343283582,0.8857142857142857,0.96875,0.7894736842105263,0.6818181818181818,0.9375,0.7672955974842768,0.9682539682539683,0.6354166666666666,0.6605504587155964,0.5142857142857142,0.9230769230769231,0.0,0.0,0.0,0.9627690594421052,0.8830845790435408,0.9972310126582279,0.9894926457111437,0.9935344827586207,0.9193610076162826,0.9654255319148937,0.9652185743170599,0.9482085243674648,0.8343451730677235,0.9094457455113192,0.7070054945054944,MOGFormer_BASELINE,1,0,444,0.8291201879881125,rna_methy
0.20105263157894737,0.38792243767313017,0.27019230769230773,0.23954036425634828,0.0,0.0,0.0,0.0,0.0,0.0,0.6052631578947368,0.8214285714285714,0.4791666666666667,0.4,0.2595419847328244,0.8717948717948718,0.0,0.0,0.0,0.7782020229014379,0.4446554167998277,0.8757911392405062,0.6359552145688845,0.7112068965517241,0.1367036847932714,0.8782136524822696,0.8620192869817392,0.73883511631856,0.47055937415353505,0.6869633099141295,0.11803952350170838,MOGFormer_BASELINE,1,0,444,0.8291201879881125,cnv_methy
0.842003432003432,0.8838664228137911,0.8446642173615857,0.8251490428496666,0.9206349206349206,0.9666666666666667,0.8787878787878788,0.75,0.75,0.75,0.9285714285714286,0.91,0.9479166666666666,0.8108108108108109,0.8333333333333334,0.7894736842105263,0.8,0.75,0.8571428571428571,0.9866776332570115,0.9252317247886823,0.9988419224088014,0.9945613802705832,0.9906609195402298,0.9000537013604468,0.9833776595744681,0.9845294708560617,0.9698753462603877,0.8868950238372724,0.990632318501171,0.8601190476190474,MOGFormer_BASELINE,1,1,444,0.8799146296380942,full
0.7281304089488232,0.8192159854025515,0.7240971747550695,0.735779731193966,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.6086956521739131,1.0,0.4375,0.9019607843137255,0.8518518518518519,0.9583333333333334,0.6956521739130435,0.7741935483870968,0.631578947368421,0.5555555555555556,0.45454545454545453,0.7142857142857143,0.9811024827983736,0.9130361361076158,0.9967187801582706,0.9858143735149081,0.9931752873563219,0.9338298955946014,0.9752881205673759,0.9773276054372815,0.9536011080332409,0.8393867508534438,0.9867291178766588,0.8288220551378445,MOGFormer_BASELINE,1,1,444,0.8799146296380942,rna_only
0.24497816593886465,0.456392208687658,0.2796152312599681,0.22823472565530564,0.375,0.3191489361702128,0.45454545454545453,0.0,0.0,0.0,0.7248908296943232,0.6240601503759399,0.8645833333333334,0.125,0.3,0.07894736842105263,0.0,0.0,0.0,0.7204934685617278,0.31581233017540555,0.6961976452422312,0.27646799318240833,0.7230603448275862,0.15989259764806307,0.759197695035461,0.7441412182228033,0.6769390581717452,0.2958531225516824,0.7470725995316159,0.10270671927207108,MOGFormer_BASELINE,1,1,444,0.8799146296380942,cnv_only
