condition,label,macro_f1_mean,ci95_lo,ci95_hi,delta_vs_full,n,f1__BRCA_Basal,f1__BRCA_Her2,f1__BRCA_LumA,f1__BRCA_LumB,f1__BRCA_Normal
full,RNA+CNV+methy,0.8209230228771567,0.7994072092555601,0.8424388364987533,0.0,10,0.9698385268923879,0.7793932316255365,0.9094515035760571,0.7999024499775699,0.646029402314232
rna_only,RNA only,0.5685992715711562,0.4315942819095867,0.7056042612327257,-0.2523237513060005,10,0.830332596205049,0.3797789433808317,0.7707035749753748,0.5115231236364055,0.35065811965811966
cnv_only,CNV only,0.1396862539541278,0.09249737471707094,0.18687513319118465,-0.6812367689230289,10,0.06696779261586802,0.05757575757575757,0.3663478575269875,0.16675353726570097,0.04078632478632479
methy_only,methy only,0.11324259109292485,0.07047409141789743,0.15601109076795228,-0.7076804317842318,10,0.1111635676537194,0.05912599171137589,0.19272959144656188,0.16596436742352985,0.03722943722943723
rna_cnv,RNA+CNV (no methy),0.7617425476795384,0.7264658639170893,0.7970192314419875,-0.059180475197618265,10,0.9624638826703371,0.5971121242202198,0.8848248050975339,0.7217090391008318,0.6426028873087697
rna_methy,RNA+methy (no CNV),0.7561200486990781,0.7012830520758715,0.8109570453222847,-0.06480297417807857,10,0.959400714272115,0.6188554261228891,0.8948978003773502,0.7236842314609648,0.5837620712620712
cnv_methy,CNV+methy (no RNA),0.20939380717767073,0.15219610320597135,0.26659151114937013,-0.6115292156994859,10,0.18151647330535323,0.07017829963035442,0.4308237278329009,0.2798842288097958,0.08456630630994928
