score,genes_used,A_median,B_median,cohens_d,mwu_p
proliferation,25,-0.7065158610580301,-0.4343833079928461,0.3014003337639917,0.008292282509543074
CIN_signature,15,-0.6949769789499562,-0.4359354028246162,0.3347100511358888,0.004342197397774703
