cluster,N0,N0 (i+),N0 (i-),N0 (mol+),N1,N1a,N1b,N1c,N1mi,N2,N2a,N3,N3a,NX,nan
A,56,9,21,1,14,30,4,0,10,11,13,5,12,4,29
B,26,2,11,0,11,17,4,1,5,5,8,4,3,3,16
