cluster,Stage 0,Stage I,Stage IA,Stage IB,Stage II,Stage IIA,Stage IIB,Stage IIIA,Stage IIIB,Stage IIIC,Stage IV,Stage X,nan
A,1,24,22,1,1,44,42,32,3,17,1,1,30
B,1,8,7,1,0,27,24,20,4,7,1,0,16
