macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,f1__BRCA_Normal,precision__BRCA_Normal,recall__BRCA_Normal,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,roc_auc__BRCA_Normal,pr_auc__BRCA_Normal,model,repeat,fold,n_selected,best_inner_f1
0.8185304593444785,0.8781782876841042,0.805837912087912,0.8168528052361161,0.9508196721311475,1.0,0.90625,0.6896551724137931,0.7692307692307693,0.625,0.9230769230769231,0.9090909090909091,0.9375,0.8148148148148148,0.7857142857142857,0.8461538461538461,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9838221215150845,0.9025677332700319,0.9982199367088607,0.9927734375,0.9748563218390804,0.8160998477044341,0.98260195035461,0.9825785571059563,0.978264561046018,0.9173637794152206,0.985167837626854,0.8040230446245482,MOGFormer_BASELINE,1,0,444,0.8571097819199085
0.8640957455866977,0.8873282219388683,0.8919059011164275,0.8306871088234503,0.9523809523809523,1.0,0.9090909090909091,0.7878787878787878,0.7647058823529411,0.8125,0.9247311827956989,0.9555555555555556,0.8958333333333334,0.7804878048780488,0.7272727272727273,0.8421052631578947,0.875,0.7777777777777778,1.0,0.9862342838430885,0.9457388934146872,0.9982628836132021,0.9926457558036503,0.9910201149425287,0.8963859468382495,0.9804964539007093,0.9816998093161062,0.9613919667590027,0.8579629551154302,1.0,0.9999999999999998,MOGFormer_BASELINE,1,1,444,0.8714155251141552
0.865040087525856,0.8947327933146368,0.8971794871794871,0.842917001778222,1.0,1.0,1.0,0.7741935483870968,0.75,0.8,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8108108108108109,0.8571428571428571,0.7692307692307693,0.8235294117647058,0.7,1.0,0.9849976199758143,0.9099844537229043,1.0,0.9999999999999998,0.9748571428571429,0.8700549345230196,0.9824911347517731,0.9829031277854668,0.9762268636440822,0.9052975396393685,0.9914129586260734,0.7916666666666665,MOGFormer_BASELINE,1,2,444,0.8690454359152845
0.7586207117871699,0.8773506018825826,0.7575536963036964,0.8203066465099131,0.9538461538461539,0.96875,0.9393939393939394,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.925531914893617,0.9456521739130435,0.90625,0.8470588235294118,0.782608695652174,0.9230769230769231,0.3333333333333333,0.4,0.2857142857142857,0.9607539073273859,0.8586995055895852,0.9996139741362672,0.9981904607573056,0.9832380952380952,0.8595592207356912,0.9820478723404256,0.9834378838093591,0.9786041772796741,0.915387011646988,0.8602654176424669,0.5369229509985813,MOGFormer_BASELINE,1,3,444,0.9322256902761105
0.8399141335685838,0.9026090934775386,0.8451648351648352,0.850291296512814,0.9841269841269841,1.0,0.96875,0.6666666666666666,0.5714285714285714,0.8,0.9528795811518325,0.9578947368421052,0.9479166666666666,0.8266666666666667,0.8611111111111112,0.7948717948717948,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.9823131817984979,0.9091829830372088,0.9998009554140127,0.9990530303030303,0.9716475095785441,0.8471366564643875,0.991263440860215,0.9918433298054979,0.9676923076923077,0.8878138714022447,0.9811616954474097,0.8200680272108842,MOGFormer_BASELINE,1,4,444,0.8638497405231685
0.8193331544077813,0.865256136897928,0.8364010989010989,0.8094646641182136,0.9552238805970149,0.9142857142857143,1.0,0.8484848484848485,0.8235294117647058,0.875,0.8863636363636364,0.975,0.8125,0.7912087912087912,0.6923076923076923,0.9230769230769231,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.9817967140513083,0.9003266931853953,1.0,1.0,0.9920977011494253,0.9270348401598403,0.9848182624113476,0.9859941591683054,0.9726608931906945,0.8944486224429862,0.9594067135050741,0.6941558441558442,MOGFormer_BASELINE,2,0,444,0.9012703540635311
0.8235495019077108,0.897505845816922,0.7966948621553885,0.8566584751592812,0.9850746268656716,0.9705882352941176,1.0,0.5833333333333334,0.875,0.4375,0.9595959595959596,0.9313725490196079,0.9895833333333334,0.8205128205128205,0.8,0.8421052631578947,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.987961142010936,0.9286550182272517,0.9998069870681335,0.9991087344028519,0.9827586206896551,0.8559345579493607,0.9885859929078014,0.9897781621644403,0.9733379501385042,0.8889298270957962,0.9953161592505855,0.9095238095238094,MOGFormer_BASELINE,2,1,444,0.8835425462050848
0.8263924229919957,0.9151015843615792,0.8251023976023977,0.875001467066044,0.927536231884058,0.8888888888888888,0.9696969696969697,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9574468085106383,0.9782608695652174,0.9375,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.46153846153846156,0.5,0.42857142857142855,0.9914083330843037,0.9308043540312878,0.9961397413626714,0.9885648942252714,0.9942857142857143,0.9535714285714285,0.9919104609929079,0.9927231970466739,0.9864153506537612,0.950624835347079,0.9882903981264637,0.7685374149659863,MOGFormer_BASELINE,2,2,444,0.8286216455948333
0.81817470364666,0.879137901162525,0.8267112054612055,0.8214314991088908,0.9538461538461539,0.96875,0.9393939393939394,0.5925925925925926,0.6666666666666666,0.5333333333333333,0.93048128342246,0.9560439560439561,0.90625,0.813953488372093,0.7446808510638298,0.8974358974358975,0.8,0.75,0.8571428571428571,0.9862456048509465,0.9268265148245953,0.9994209612044007,0.9973501246228518,0.9794285714285714,0.8245550223197281,0.98260195035461,0.9846094276314464,0.9736797418916624,0.9188878408187917,0.9960967993754879,0.9087301587301586,MOGFormer_BASELINE,2,3,444,0.8921479338547804
0.7753742553742554,0.8421389310278199,0.7438873626373625,0.7647012108819283,0.9846153846153847,0.9696969696969697,1.0,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.8787878787878788,0.8529411764705882,0.90625,0.7272727272727273,0.7368421052631579,0.717948717948718,0.5454545454545454,0.75,0.42857142857142855,0.9800790893209055,0.8917630064693848,1.0,1.0,0.9896551724137931,0.8936475398240104,0.9640456989247311,0.9654834376911815,0.9623931623931623,0.8818469199777904,0.9843014128728415,0.7178371348539416,MOGFormer_BASELINE,2,4,444,0.8948720821661998
