tf,target,edge_sign,obs_coexpr
BTG2,CCND1,-1,0.04753482696140666
HIF1A,CCND1,1,-0.3622756372256296
E2F4,CCND1,1,-0.22784155268610973
EP300,CCND1,1,-0.028601426204690528
E2F1,CCNE2,1,0.07984114687539251
EZH2,CCNE2,1,0.6247513718994236
FOXM1,CCNE2,1,0.6335251441586309
MYC,CDC20,1,0.0432874976294027
TP53,CDC20,-1,-0.06573947905989644
AR,CDC6,1,-0.049047933889467245
E2F1,CDC6,1,0.016912708905456115
FOXM1,CDC6,1,0.38960102493490073
E2F4,CDC6,1,0.07484814626501185
E2F1,CDCA7,1,0.03133295997965058
MYC,CDCA7,1,0.23893882699629743
E2F4,CDCA7,1,0.4169188512550131
AR,CDH1,-1,0.04152258556329386
ARID1A,CDH1,1,0.04121403103363363
DNMT3A,CDH1,-1,-0.1058500089421236
DNMT3B,CDH1,-1,0.07677741354758161
ESR1,CDH1,1,0.08370013012450016
EZH2,CDH1,-1,0.09286107790997954
FOXC1,CDH1,-1,-0.16307886477943948
FOXM1,CDH1,1,0.050468542453863105
GATA3,CDH1,1,0.06076612125564499
HTATIP2,CDH1,1,0.1665580710855009
MYC,CDH1,1,0.016495904060115175
RB1,CDH1,1,0.07733661899230564
RUNX1,CDH1,1,-0.22352342252742355
SMAD3,CDH1,-1,-0.12258495911455888
SMAD4,CDH1,-1,-0.056653256156423505
TBX3,CDH1,-1,0.05767455838734376
TP53,CDH1,1,0.043641163062055566
TWIST1,CDH1,-1,-0.055091793627200465
ZEB1,CDH1,-1,-0.046204093063982016
CTBP1,CDH1,-1,0.24209174447177978
HIF1A,CDH1,-1,0.11704444558750637
E2F1,CDK4,1,-0.011071128541534471
ESR1,CDK4,1,-0.33173008949884086
EZH2,CDK4,1,0.31990198103446216
MYC,CDK4,1,0.26124973000962587
RUNX1,CDK4,1,-0.2096729345316953
TP53,CDK4,-1,0.05310939749130508
ZEB1,CDK4,1,-0.0042514220952517435
AR,CDK6,1,-0.44915785521585716
MYC,CDK6,1,0.3000760619906068
RUNX1,CDK6,1,-0.05280368472627103
TP53,CDK6,1,0.04250441754228898
AR,CDKN1B,1,-0.07754238289984383
BRCA1,CDKN1B,1,0.026212245114266508
E2F1,CDKN1B,1,0.003991384432198327
ESR1,CDKN1B,-1,0.16037102783294985
EZH2,CDKN1B,1,-0.19188225822654684
FOXA1,CDKN1B,1,0.1678460882609405
FOXM1,CDKN1B,-1,-0.17601601320513302
MYC,CDKN1B,-1,0.11236811838985845
PGR,CDKN1B,1,0.21686388388479938
RUNX1,CDKN1B,-1,-0.13298494096092356
SMAD3,CDKN1B,1,-0.03516548626881909
TP53,CDKN1B,1,-0.03677137515510482
HIF1A,CDKN1B,1,0.19043994280523588
E2F4,CDKN1B,1,-0.17418339865621746
DNMT3A,CDKN2A,-1,-0.071636636960962
DNMT3B,CDKN2A,1,0.07272478346784653
E2F1,CDKN2A,1,0.03635991070682738
ESR1,CDKN2A,1,-0.3081065259297182
EZH2,CDKN2A,-1,0.1678446535729301
FOXA1,CDKN2A,1,-0.3055969830996643
FOXM1,CDKN2A,-1,0.18285254074785914
GATA3,CDKN2A,1,-0.2623035727327814
MYBL2,CDKN2A,1,0.012575649899778739
MYC,CDKN2A,1,0.13091113189849665
RUNX1,CDKN2A,1,-0.1925227272717912
SMAD3,CDKN2A,1,-0.2181605149163193
TBX3,CDKN2A,-1,-0.214311423369926
TP53,CDKN2A,1,-0.09931731655517452
TWIST1,CDKN2A,-1,0.15122850517471786
ZEB1,CDKN2A,-1,0.0294726802559851
CTBP1,CDKN2A,-1,0.008913843519565473
TP53,CEP55,-1,-0.0031342434539075367
E2F1,CHEK1,1,0.0693980534553529
EZH2,CHEK1,1,0.6967953063170437
FOXM1,CHEK1,1,0.6635744812984656
MYC,CHEK1,1,0.27948928542322765
TP53,CHEK1,-1,0.052435043065640126
E2F4,CHEK1,1,0.2899664087730386
E2F1,CHEK2,1,0.013949596257978864
MYC,CHEK2,1,0.32039520664878945
PITX2,CHEK2,1,0.012373647140774942
TP53,CHEK2,-1,0.06399593442801729
DNMT3B,DNMT3A,1,-0.12765694718305448
E2F1,DNMT3A,-1,-0.015460526878525855
