tf,target,edge_sign,obs_coexpr
PGR,DUSP1,1,0.0929663987225248
TP53,DUSP1,1,-0.00060883626694807
FOXA1,UCP2,-1,-0.04394355131811127
SMAD4,UCP2,1,-0.331250562964116
HIF1A,UCP2,1,0.01303728977551611
AR,MAPT,1,0.44362813243763666
BRCA1,HIF1A,1,-0.14065611975368303
MYC,HIF1A,-1,0.2916343518029367
TP53,HIF1A,-1,0.09031447592481191
MYC,NID1,1,0.29184013703804945
TP53,E2F4,1,-0.027761647317879626
MYC,SLC25A3,1,0.36543955491478336
ESR1,PKIB,1,0.5124245595272527
MYC,RAD50,1,-0.1694115665029519
E2F1,MCPH1,1,-0.02891725109041006
MYC,TFRC,1,0.11076967371747568
TP53,TFRC,1,-8.767247561449452e-05
HIF1A,TFRC,1,0.24846222782087765
MYC,RPS12,1,0.3123517217013659
ZBTB4,RPS12,1,-0.08802667069704757
AR,GAS6,1,-0.04233267893709711
ESR1,GAS6,1,-0.07235089216391777
EZH2,DACT3,-1,-0.4713658369933921
MYC,LBR,1,0.26810365680237613
AR,EP300,1,0.1766533799195314
BRCA1,EP300,1,-0.11879050127898476
ESR1,EP300,1,0.06242027558380064
MYC,EP300,1,0.20251996593326269
NCOA3,EP300,1,-0.04762969776087732
MYC,SHMT1,1,-0.031037586398682412
MYC,PRKCQ,1,0.15825741827144246
RUNX1,PRKCQ,1,-0.2630681806246459
RUNX1,LGALS3,1,-0.038343138835331685
HIF1A,LGALS3,1,0.25552745943103383
HIF1A,WSB1,1,0.2037044336541087
MYC,ESD,1,0.33339264882324865
TP53,CACYBP,1,0.12590934041329183
ESR1,SERINC1,1,0.27590165010478385
