gene,arrow,injected_value,mean_pred,sem_pred
CDKN1B,methy->rna,-1.0,0.3476528227329254,0.023947276978792863
CDKN1B,methy->rna,-0.5,0.20998696982860565,0.023378875486527933
CDKN1B,methy->rna,0.0,0.11797373741865158,0.02172855823298175
CDKN1B,methy->rna,0.5,0.027694515883922577,0.021625849276965856
CDKN1B,methy->rna,1.0,-0.11615435779094696,0.021639518233257906
CDKN1B,methy->rna,1.5,-0.22401446104049683,0.021437347570090137
CDKN1B,methy->rna,2.0,-0.2949613332748413,0.02126232739440425
CDKN2A,methy->rna,-2.0,0.14541099965572357,0.025290234499593466
CDKN2A,methy->rna,-1.5,0.11817490309476852,0.025165760258742
CDKN2A,methy->rna,-1.0,0.07540857791900635,0.024848390717920943
CDKN2A,methy->rna,-0.5,0.012265123426914215,0.023916053264380205
CDKN2A,methy->rna,0.0,-0.028536099940538406,0.02377856169637115
CDKN2A,methy->rna,0.5,-0.06621400266885757,0.022701708592211458
CDKN2A,methy->rna,1.0,-0.10044459253549576,0.022803286459529077
CDKN2A,methy->rna,1.5,-0.12719206511974335,0.023025788387564278
CDKN2A,methy->rna,2.0,-0.1479058861732483,0.02317808217992531
CDKN3,methy->rna,-2.0,0.10001666843891144,0.035642766809369175
CDKN3,methy->rna,-1.5,0.08074434101581573,0.035569307066107676
CDKN3,methy->rna,-1.0,0.04945642873644829,0.03539368756596702
CDKN3,methy->rna,-0.5,-0.002536041894927621,0.03495601072377639
CDKN3,methy->rna,0.0,-0.03964228928089142,0.03510197129117175
CDKN3,methy->rna,0.5,-0.06909164786338806,0.03366054367277171
CDKN3,methy->rna,1.0,-0.10629759728908539,0.03367274155994751
CDKN3,methy->rna,1.5,-0.13387997448444366,0.033701805526961344
CDKN3,methy->rna,2.0,-0.15307044982910156,0.03367428672735998
CENPA,methy->rna,-2.0,0.1650448888540268,0.036566898966283706
CENPA,methy->rna,-1.5,0.14362762868404388,0.03634636282246015
CENPA,methy->rna,-1.0,0.10874596238136292,0.03587985956367594
CENPA,methy->rna,-0.5,0.05141747370362282,0.034723987164676146
CENPA,methy->rna,0.0,0.012884420342743397,0.033954842491126624
CENPA,methy->rna,0.5,-0.01901720091700554,0.033420288664705415
CENPA,methy->rna,1.0,-0.07389134168624878,0.033485044037522005
CENPA,methy->rna,1.5,-0.11512257903814316,0.0336085942290323
CENPA,methy->rna,2.0,-0.14407336711883545,0.03368078558381134
CENPF,methy->rna,-2.0,0.10261762142181396,0.035270034944459
CENPF,methy->rna,-1.5,0.0862252339720726,0.035199186076458645
CENPF,methy->rna,-1.0,0.060328949242830276,0.035045386345194905
CENPF,methy->rna,-0.5,0.020196642726659775,0.034625044145597854
CENPF,methy->rna,0.0,-0.010780058801174164,0.03514300213302609
CENPF,methy->rna,0.5,-0.01684575341641903,0.03451320366425293
CENPF,methy->rna,1.0,-0.02416098117828369,0.03468950094586789
