tf,target,edge_sign,coexpr__pooled,coexpr__ER_IHC=Negative,coexpr__ER_IHC=Positve
TP53,EGFR,1,-0.006529264233801608,0.0020067491940440408,0.0043728525574459375
AR,ERBB2,1,0.27009849913270795,0.6029814109417712,0.14462888320588646
ESR1,ERBB2,1,0.03035411807072626,0.13717794588035456,0.001863934422074905
FOXM1,ERBB2,1,-0.023114485453833548,-0.38164894817661726,0.09671950774011659
GATA3,ERBB2,1,0.10849499069720385,0.39693168402634954,0.09067830746987596
MYBL2,ERBB2,-1,0.014723275711070898,0.041249775149576784,0.019901237591651605
MYC,ERBB2,-1,-0.31825847999598744,-0.4508953635558221,-0.25671799521257493
NCOA3,ERBB2,1,0.2590038674409618,0.37357660080375305,0.22853326444261812
PGR,ERBB2,-1,-0.0634405981108856,0.0635778982962177,-0.12166117497091272
TP53,ERBB2,1,-0.04731942706921872,-0.07530611018988866,-0.03805842618258253
TRPS1,ERBB2,1,-0.01309469071941013,-0.10095718163451227,0.001311919106154254
HIF1A,ERBB2,1,-0.04961223036033239,0.009951787555314156,-0.07587095889641292
EP300,ERBB2,1,0.02082086798959065,0.12845898141529483,-0.02786783511865056
AR,ERBB3,1,0.4261939916777982,0.3074770209603035,0.31673737474408287
TWIST1,ERBB3,-1,-0.2842704703705542,-0.11629597574813151,-0.3267253110120699
AR,ESR1,-1,0.4775875669161448,0.32515011878623407,0.3761483618614367
BRCA1,ESR1,1,0.16929922747952966,-0.09624607191316273,0.22482996080310627
DNMT3A,ESR1,1,0.09307650553869495,0.08810118725530958,0.04801198985396063
DNMT3B,ESR1,1,-0.2518839050662093,-0.08788402274204357,0.004393047570988341
FOXA1,ESR1,1,0.6829650558214113,0.42857968519815687,0.5097036618573448
FOXM1,ESR1,1,-0.2689488461980141,-0.3022723822267734,0.07787652808881153
GATA3,ESR1,1,0.6991538209210119,0.5152457864653845,0.436753355539837
HOXB13,ESR1,1,-0.052359380772882665,-0.005171102470503009,-0.024628622027870518
HTATIP2,ESR1,1,-0.2705410803008954,-0.1675598930766839,-0.09396501844435223
MYC,ESR1,1,-0.22601759645715794,-0.15996008698775074,-0.18758674354505062
NCOA3,ESR1,1,-0.10790662934863995,0.18733054367898755,-0.04536952666791897
NCOR1,ESR1,-1,0.3110890402473849,0.06073164781478353,0.2932904381001225
PGR,ESR1,1,0.4748760896664189,0.3618357472748271,0.1912708498661607
SMAD3,ESR1,-1,0.34917738360666883,0.17609188123592331,0.2671214611699149
SMAD4,ESR1,1,0.020090220815492915,-0.16004623713390598,0.028149300633077107
TP53,ESR1,1,0.04499052796598969,0.045136256029618564,0.0415419517343603
TWIST1,ESR1,-1,-0.32818555338669647,0.059045501043371376,-0.45500770961345277
ZEB1,ESR1,-1,-0.0379318251895541,0.11299341445699358,-0.23983878521101448
HIF1A,ESR1,1,-0.3330301730173596,-0.08765848198626919,-0.25213722861325644
E2F4,ESR1,-1,-0.4688462272358858,-0.15171440265342662,-0.31961683766815857
TRPS1,EXT1,1,-0.28825138724169885,-0.014214983990291743,-0.2449439789288717
E2F1,EZH2,1,0.04263965902839354,-0.002217204822567269,0.051128790495394115
MYC,EZH2,1,0.1281775122956634,0.27104509429353096,0.0345346667904434
TP53,EZH2,-1,0.04728390119221909,0.1416575530860811,0.04716368679411296
EP300,EZH2,1,0.060146205145786634,0.09084007214921393,0.06094273509920918
FOXC1,FGF19,1,0.0009488898165818098,-0.0805817750820091,0.03646028459342825
MYC,FGF3,1,0.039413730173154804,-0.05042107608519133,0.06937851222433604
GATA3,FGF4,1,-0.017307596737638736,-0.054661770726339355,-0.01702907987677183
MYBL2,FGF4,1,0.26600525277463777,0.3591013080620725,0.2313893145000229
DNMT3B,FGFR1,1,-0.1910511833253363,-0.14536798031655962,-0.15233013991451738
E2F1,FGFR1,1,-0.10280283906794495,-0.023478737680704166,-0.11433987740872462
EZH2,FGFR1,1,-0.062224022136305915,0.08536928717229582,-0.03002618867920963
GATA3,FGFR1,1,0.07573550647348995,0.03804195892058966,-0.018016508557775163
MYC,FGFR1,1,0.31787173596700435,0.26150750148940877,0.3579806520802793
RB1,FGFR1,-1,0.35133207811528505,0.41789753639683574,0.3096228102186319
RUNX1,FGFR1,1,-0.12776449280995197,-0.007044464096165689,-0.18915787673681908
TP53,FGFR1,1,0.0780015586875359,0.11392317059252816,0.04641737023189083
E2F4,FGFR1,-1,0.037885852018181836,-0.13322603298319005,0.1522317406143075
E2F1,FGFR2,1,0.005115128920947749,-0.011582106442341292,0.008345127840423976
TWIST1,FGFR2,1,-0.06492568792260066,0.11560222172709296,-0.10538171884119717
E2F4,FGFR2,1,-0.0756970397126199,-0.013142201577909537,-0.08052286654721703
MYC,FGFR4,1,-0.17245544090700582,-0.5231182407282345,-0.120291719940032
E2F1,FLT1,1,0.037831358537345997,0.1121649994885235,0.017017724318461196
ESR1,FLT1,-1,-0.005281992983074262,-0.04285371755366322,-0.028538702737350194
MYC,FLT1,1,0.08806075694529532,0.14469178924840614,0.07152708855619604
TP53,FLT1,1,0.016123185090362077,0.023424498757691793,0.005778714290234817
HIF1A,FLT1,1,0.04554126732818394,0.09361234748611894,0.036806402683424715
AR,FOXA1,1,0.5113406923323334,0.744404691977715,0.35057021346205247
GATA3,FOXA1,1,0.7064426822223778,0.5931737441064961,0.5337591080209938
BRCA1,FOXC1,-1,-0.24713393534461128,-0.00379571529789907,-0.31564399961126266
ESR1,FOXC1,1,-0.4676329644619833,-0.2604713546656448,-0.3254800856671083
EZH2,FOXC1,-1,0.03736412758713585,0.35985431533499895,-0.22463223639213892
FOXA1,FOXC1,1,-0.5039801858429938,-0.7098767952740984,-0.30743619627621144
GATA3,FOXC1,-1,-0.37864418022431356,-0.367555914339891,-0.1531651341324711
E2F1,FOXM1,1,0.08217226641082462,0.02395367325919005,0.08867339806068655
ESR1,FOXM1,1,-0.2689488461980141,-0.3022723822267734,0.07787652808881153
MYC,FOXM1,1,0.06445296800472398,0.2984967704174638,-0.06442147894958505
TP53,FOXM1,-1,-0.011813831219558667,0.02330388021070553,0.0045639140903289705
TWIST1,FOXM1,1,-0.1447617840822575,-0.2636962255399304,-0.17934758150066593
HIF1A,FOXM1,1,0.022843073453879217,-0.1601493910962153,-0.08967490800075205
E2F4,FOXM1,1,0.29579699027683165,0.2807001452555656,0.11215816359642435
EZH2,GATA3,-1,-0.2805897196400897,-0.184062742618025,-0.017711839814406594
