tf,target,edge_sign,coexpr__pooled,coexpr__INTCLUST=1,coexpr__INTCLUST=10,coexpr__INTCLUST=2,coexpr__INTCLUST=3,coexpr__INTCLUST=4ER+,coexpr__INTCLUST=4ER-,coexpr__INTCLUST=5,coexpr__INTCLUST=6,coexpr__INTCLUST=7,coexpr__INTCLUST=8,coexpr__INTCLUST=9
AR,AKT1,1,0.36175673612064146,0.24420103092783502,0.42116270825948243,-0.027406136840099102,0.37205812575955627,0.3842362324685217,0.40408163265306113,0.2840788238974038,0.3907456372289793,0.37605599453711835,0.33196698877351993,-0.018988045593550183
DNMT3B,AKT1,1,0.27338397320278857,0.2199926362297496,0.2881784154211073,0.27592910234419665,0.31070352455637995,0.29221999750013555,0.531140456182473,0.34741498726484643,0.42047092112242956,0.4572139303482588,0.2974369444241111,0.3438142896858494
ESR1,AKT1,1,0.025802720065711875,-0.07914738060172521,-0.08382907415165479,-0.32548122736801977,0.07804243413097581,0.11643236333878113,0.012340936374549819,-0.06546315742437105,-0.18117398202009516,0.030455565310701396,0.01115645319176741,-0.2619127050319711
EZH2,AKT1,1,0.12677551129187206,0.36959551861981904,0.009944917852139483,0.12307985515532684,0.3506789248751736,0.340606724521326,0.20134453781512604,0.23679342240493317,0.23844526705446853,0.3259438103599649,0.12275069496744541,0.2068997472430426
MYC,AKT1,1,-0.40813874711328135,-0.3019277298548285,-0.2577873739164062,-0.20480274442538593,-0.2966525954247546,-0.3484952467201071,-0.578391356542617,-0.4128066490906653,-0.18815441565309357,-0.4808847917276364,-0.4084293530657684,-0.2942266703734594
NCOA3,AKT1,1,0.10318802544912983,-0.11814906374921103,0.1940994489381586,-0.27242233657327997,0.08028760470033011,0.030049095243126017,0.13810655722005286,0.1316146070140316,0.10737846878871758,0.1980928689883914,0.11382076133495007,0.03645647510221279
TP53,AKT1,-1,0.026119225183771744,0.2160609088996423,-0.09530147272082755,-0.06392224128073185,0.2742704433512617,-0.06837129117995958,-0.35798319327731093,-0.04065418472675276,0.04452670544685351,-0.03928884986830554,0.01804373716278026,0.1911871003614123
HIF1A,AKT1,1,-0.10191643164275176,-0.025996738901746263,-0.10905223808449614,0.018562988374309128,0.039150705143707276,-0.2521278326883211,-0.1944297719087635,-0.31091201572903165,-0.18662083553675302,-0.2987025656033558,-0.019918680142716593,0.13880085256232047
ESR1,AKT2,1,0.09852327653440812,-0.016621081422259626,-0.10891688956205087,0.20747093577282255,-0.0075745957169742265,0.15912580213809155,-0.025210084033613446,-0.015608382858930245,0.0316234796404019,0.17211003804506878,0.04753784282928007,0.3345287739783153
TP53,AKT2,1,0.07507284319570343,0.12899747527877128,-0.06265347555670137,0.301848675433581,-0.008393768774629539,0.007725995995500242,0.23745498199279708,0.02986728629518745,0.31411951348492856,-0.01268168959125939,0.21468097120271032,-0.018747104068204987
