macro_f1,weighted_f1,balanced_accuracy,mcc,f1__BRCA_Basal,precision__BRCA_Basal,recall__BRCA_Basal,f1__BRCA_Her2,precision__BRCA_Her2,recall__BRCA_Her2,f1__BRCA_LumA,precision__BRCA_LumA,recall__BRCA_LumA,f1__BRCA_LumB,precision__BRCA_LumB,recall__BRCA_LumB,f1__BRCA_Normal,precision__BRCA_Normal,recall__BRCA_Normal,roc_auc_macro,pr_auc_macro,roc_auc__BRCA_Basal,pr_auc__BRCA_Basal,roc_auc__BRCA_Her2,pr_auc__BRCA_Her2,roc_auc__BRCA_LumA,pr_auc__BRCA_LumA,roc_auc__BRCA_LumB,pr_auc__BRCA_LumB,roc_auc__BRCA_Normal,pr_auc__BRCA_Normal,model,repeat,fold,n_selected,best_inner_f1
0.8198389908200809,0.8730154109497239,0.8621336996336997,0.8197376784464887,0.9538461538461539,0.9393939393939394,0.96875,0.7586206896551724,0.8461538461538461,0.6875,0.9028571428571428,1.0,0.8229166666666666,0.8172043010752689,0.7037037037037037,0.9743589743589743,0.6666666666666666,0.5454545454545454,0.8571428571428571,0.987116001769461,0.9320913885718906,0.9982199367088608,0.993140243902439,0.9924568965517241,0.9131845686992747,0.9879210992907801,0.989322684497864,0.9757174392935981,0.917401517071158,0.9812646370023419,0.8474079286887168,MOGFormer_BASELINE,1,0,482,0.8620216542741963
0.7944172045722311,0.8479125739069366,0.7777625882889041,0.7767564085430481,0.9354838709677419,1.0,0.8787878787878788,0.875,0.875,0.875,0.8932038834951457,0.8363636363636363,0.9583333333333334,0.696969696969697,0.8214285714285714,0.6052631578947368,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9784319012291529,0.9118404323078998,0.9976838448176027,0.989684869888219,0.9942528735632185,0.9383775489861017,0.9634308510638299,0.9617218511886629,0.9445983379501384,0.8383727461456558,0.9921935987509758,0.8310451453308596,MOGFormer_BASELINE,1,1,482,0.9041514208454323
0.6921528250940016,0.7405043212163955,0.7716346153846153,0.6270703221304422,0.9705882352941176,0.9428571428571428,1.0,0.5555555555555556,0.47619047619047616,0.6666666666666666,0.8108108108108109,0.8426966292134831,0.78125,0.45714285714285713,0.5161290322580645,0.41025641025641024,0.6666666666666666,0.5,1.0,0.9332915083702746,0.6778108292318036,0.9992279482725342,0.9962659739537865,0.9443809523809523,0.5303864176758913,0.9290780141843972,0.9285489678025746,0.825776872134488,0.5364862643602428,0.9679937548790009,0.3973665223665223,MOGFormer_BASELINE,1,2,482,0.7935000323060024
0.7572380231450481,0.8059563958427022,0.7750412087912089,0.7368124229519911,0.9850746268656716,0.9705882352941176,1.0,0.8275862068965517,0.8571428571428571,0.8,0.8072289156626506,0.9571428571428572,0.6979166666666666,0.7047619047619048,0.5606060606060606,0.9487179487179487,0.46153846153846156,0.5,0.42857142857142855,0.9696668844092873,0.8655966902596568,0.9992279482725342,0.9962659739537865,0.9912380952380953,0.9235754985754985,0.967863475177305,0.9672557414113677,0.956359313975208,0.8537617984053465,0.9336455893832943,0.5871244389522844,MOGFormer_BASELINE,1,3,482,0.8970378638633554
0.8138337668772451,0.8797406208034227,0.8072344322344321,0.8229351579473198,1.0,1.0,1.0,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.9130434782608695,0.9545454545454546,0.875,0.8,0.7058823529411765,0.9230769230769231,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.9782507209495133,0.886968222410303,1.0,1.0,0.9773946360153256,0.8488888888888888,0.9881272401433692,0.9886250938432664,0.9767521367521368,0.9191254138505635,0.9489795918367346,0.6782017154687963,MOGFormer_BASELINE,1,4,482,0.8528257130996858
0.8728987899719607,0.8981115000370457,0.8868131868131869,0.8460221595262425,0.9841269841269841,1.0,0.96875,0.7317073170731707,0.6,0.9375,0.9417989417989417,0.956989247311828,0.9270833333333334,0.7837837837837838,0.8285714285714286,0.7435897435897436,0.9230769230769231,1.0,0.8571428571428571,0.9802957503059394,0.9229372699875065,1.0,1.0,0.9881465517241379,0.8930175008599931,0.9738475177304964,0.9767851978464719,0.9465104431991849,0.8414822906868492,0.9929742388758782,0.9034013605442175,MOGFormer_BASELINE,2,0,482,0.8560647526164769
0.8405831086706084,0.8877646966016538,0.8329887218045112,0.8339088047480002,0.9565217391304348,0.9166666666666666,1.0,0.75,0.75,0.75,0.9326424870466321,0.9278350515463918,0.9375,0.7945205479452054,0.8285714285714286,0.7631578947368421,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.9786053944593028,0.8921897483900946,0.998648909476935,0.9931286897820195,0.9863505747126436,0.872826565199992,0.9835992907801419,0.9849622981058893,0.9681440443213296,0.8594564762188932,0.9562841530054644,0.7505747126436781,MOGFormer_BASELINE,2,1,482,0.8751276309896999
0.9240193814953856,0.9313370247791263,0.9281701631701633,0.8967615397171637,0.9846153846153847,1.0,0.9696969696969697,0.896551724137931,0.9285714285714286,0.8666666666666667,0.9484536082474226,0.9387755102040817,0.9583333333333334,0.8571428571428571,0.868421052631579,0.8461538461538461,0.9333333333333333,0.875,1.0,0.9940540805477692,0.97844241956578,0.9951746767033391,0.9869383490073144,0.9965714285714286,0.9616785175608704,0.9905806737588652,0.9920886804249698,0.987943623705213,0.9515065508357463,1.0,0.9999999999999998,MOGFormer_BASELINE,2,2,482,0.8868348877308361
0.8071260751669538,0.8569972496109358,0.8357496669996669,0.7873760340792113,0.96875,1.0,0.9393939393939394,0.6451612903225806,0.625,0.6666666666666666,0.8901098901098901,0.9418604651162791,0.84375,0.7816091954022989,0.7083333333333334,0.8717948717948718,0.75,0.6666666666666666,0.8571428571428571,0.9804489340529164,0.9102623331408836,0.9969117930901371,0.9901051329622756,0.9668571428571429,0.7661445237532194,0.981604609929078,0.980500650519395,0.9607743250127356,0.8931327870409567,0.9960967993754879,0.9214285714285713,MOGFormer_BASELINE,2,3,482,0.8366642381408583
0.6979442779442779,0.8246587627540009,0.6940064102564103,0.748133755147842,0.9846153846153847,0.9696969696969697,1.0,0.9285714285714286,1.0,0.8666666666666667,0.8585858585858586,0.8333333333333334,0.8854166666666666,0.717948717948718,0.717948717948718,0.717948717948718,0.0,0.0,0.0,0.9673493310889375,0.8563437367753064,0.9998009554140127,0.9990530303030303,0.9773946360153257,0.9282493673798021,0.9479166666666666,0.9506846413531007,0.9367521367521368,0.8449781434400386,0.9748822605965464,0.5587535014005602,MOGFormer_BASELINE,2,4,482,0.8982905982905983
